Date	Tournament	Surface	Opponent in the final	Score
June 26, 2006	Belgrade	Clay	Ilia Kushev	6–4, 6–1
August 14, 2006	Vinkovci	Clay	Dušan Lojda	3–6, 7–6, 7–5
March 12, 2007	Accra	Clay	Gabriel Moraru	6–4, 6–4
March 19, 2007	Accra	Clay	Adrian Gavrila	6–4, 6–3
May 14, 2007	Sarajevo	Clay	Photos Kallias	7–5, 6–0
May 21, 2007	Brčko	Clay	Ivan Dodig	7–5, 7–5
May 28, 2007	Prijedor	Clay	Blaž Kavčič	6–3, 6–4
June 4, 2007	Skopje	Clay	Ivaylo Traykov	6–3, 6–4
June 11, 2007	Skopje	Clay	Ivaylo Traykov	6–3, 6–2
March 31, 2008	Roma-Frascati	Clay	Giulio Di Meo	6–3, 4–6, 6–1
