Country	Year (most recent)	Adult (15+) Literacy Rate Total	Adult Men	Adult Women	Youth (15-24) Literacy Rate Total	Youth Men	Youth Women
Brunei	2009	95%	97%	94%	100%	100%	100%
Cambodia	2008	78%	85%	71%	87%	89%	86%
Indonesia	2008	92%	95%	89%	99%	100%	99%
Laos	2005	73%	82%	63%	84%	89%	79%
Malaysia	2009	92%	95%	90%	99%	98%	99%
Burma	2009	92%	95%	90%	96%	96%	95%
Philippines	2008	95%	95%	96%	98%	97%	98%
Singapore	2009	95%	97%	92%	100%	100%	100%
Thailand	2005	94%	96%	92%	98%	98%	98%
Vietnam	2009	93%	95%	91%	97%	97%	96%
