Rider	Bike	Laps	Time	Grid
Carlos Checa	Honda CBR1000RR	21	38'44.105	1
Max Neukirchner	Suzuki GSX-R1000	21	+3.547	2
Michel Fabrizio	Ducati 1098 F08	21	+6.613	4
Max Biaggi	Ducati 1098 RS 08	21	+7.878	9
Yukio Kagayama	Suzuki GSX-R1000	21	+10.568	8
Noriyuki Haga	Yamaha YZF-R1	21	+11.539	10
Ryuichi Kiyonari	Honda CBR1000RR	21	+18.381	20
Fonsi Nieto	Suzuki GSX-R1000	21	+20.646	13
Régis Laconi	Kawasaki ZX-10R	21	+21.264	7
Lorenzo Lanzi	Ducati 1098 RS 08	21	+24.863	15
Karl Muggeridge	Honda CBR1000RR	21	+25.672	12
Ayrton Badovini	Kawasaki ZX-10R	21	+31.711	16
Makoto Tamada	Kawasaki ZX-10R	21	+35.628	18
Kenan Sofuoğlu	Honda CBR1000RR	21	+42.816	25
Gregorio Lavilla	Honda CBR1000RR	21	+45.034	23
Roberto Rolfo	Honda CBR1000RR	21	+50.220	28
Sébastien Gimbert	Yamaha YZF-R1	21	+50.653	24
Jason Pridmore	Honda CBR1000RR	21	+51.188	19
Vittorio Iannuzzo	Kawasaki ZX-10R	21	+1:04.533	21
Scott Jensen	Suzuki GSX-R1000 K8	21	+1:12.049	29
Loic Napoleone	Yamaha YZF-R1	21	+1:19.221	27
Troy Bayliss	Ducati 1098 F08	19	+2 Laps	3
Troy Corser	Yamaha YZF-R1	16	Accident	5
Shuhei Aoyama	Honda CBR1000RR	14	Retirement	14
Shinichi Nakatomi	Yamaha YZF-R1	13	Retirement	22
Ruben Xaus	Ducati 1098 RS 08	5	Accident	6
Russell Holland	Honda CBR1000RR	1	Retirement	17
Jakub Smrz	Ducati 1098 RS 08	4	Disqualified	11
