Tie no	Home team	Score	Away team	Attendance
1	Derby County	1 – 1	Fulham	22,040
replay	Fulham	4 – 2	Derby County	15,528
2	Manchester United	3 – 0	Middlesbrough	67,251
3	Blackburn Rovers	3 – 0	Colchester United	10,634
4	Chelsea	2 – 0	Birmingham City	40,379
5	West Ham United	1 – 1	Sheffield United	25,449
replay	Sheffield United	1 – 1	West Ham United	15,067
Sheffield United won on penalties	Sheffield United won on penalties	Sheffield United won on penalties	Sheffield United won on penalties	Sheffield United won on penalties
6	Oldham Athletic	0 – 1	Bolton Wanderers	12,029
7	Arsenal	2 – 0	Wolverhampton Wanderers	37,135
8	Everton	3 – 0	Sunderland	33,186
9	Nottingham Forest	1 – 0	Peterborough	16,774
10	Brentford	0 – 0	Hartlepool	8,967
replay	Hartlepool	0 – 1	Brentford	7,580
11	Reading	1 – 2	Leicester City	14,825
12	Burnley	2 – 0	Bournemouth	9,944
13	Southampton	2 – 1	Portsmouth	29,453
14	West Bromwich Albion	1 – 1	Tottenham Hotspur	22,441
replay	Tottenham Hotspur	3 – 1	West Bromwich Albion	27,860
15	Newcastle United	3 – 1	Coventry City	44,044
16	Charlton Athletic	3 – 2	Yeovil Town	22,873
