Nat.	Name	Moving to	Type	Transfer window	Transfer fee
GER	Christian Nerlinger	Free Agent	Transfer	n/a	n/a
BRA	Emerson	Free Agent	Transfer	n/a	n/a
POR	Nuno Capucho	Free Agent	Transfer	n/a	n/a
NOR	Henning Berg	Retired	End of contract	Summer	n/a
NED	Michael Mols	Utrecht	End of contract	Summer	n/a
NED	Frank de Boer	Al Rayyan	End of contract	Summer	n/a
NED	Ronald de Boer	Al Rayyan	End of contract	Summer	n/a
SCO	Darryl Duffy	Falkirk	End of contract	Summer	n/a
SCO	Billy Gibson	Partick Thistle	End of contract	Summer	n/a
SCO	Andy Dowie	Partick Thistle	End of contract	Summer	n/a
SCO	Peter Leven	Kilmarnock	End of contract	Summer	n/a
SCO	Paul McHale	Cowdenbeath	End of contract	Summer	n/a
SCO	Steve MacLean	Sheffield Wednesday	Transfer	Summer	£0.125
ESP	Mikel Arteta	RealSociedad	Transfer	Summer	£2.6m
SCO	Alex Walker	Clyde	Loan	Summer	n/a
SCO	Tom Brighton	Scunthorpe United	Loan	Summer	n/a
FRA	Jean-Alain Boumsong	Newcastle United	Transfer	Winter	£8m
AUS	Craig Moore	BorussiaMönchengladbach	Transfer	Winter	Free
ITA	Paolo Vanoli	Vicenza	Transfer	Winter	Free
Macedonia	Bajram Fetai	Inverness Caledonian Thistle	Loan	Winter	Loan
SCO	Stephen Hughes	Leicester City	Transfer	Winter	£0.1m
