Week	Date	Opponent	Result	Attendance
1	September 11, 1966	Minnesota Vikings	T 20-20	29,312
2	Bye	Bye	Bye	Bye
3	September 25, 1966	at Baltimore Colts	L 36-14	56,715
4	September 30, 1966	at Los Angeles Rams	L 34-3	45,642
5	October 9, 1966	Green Bay Packers	W 21-20	39,290
6	October 16, 1966	at Atlanta Falcons	W 44-7	54,788
7	October 23, 1966	Detroit Lions	W 27-24	36,745
8	October 30, 1966	at Minnesota Vikings	L 28-3	45,007
9	November 6, 1966	Los Angeles Rams	W 21-13	35,372
10	November 13, 1966	at Chicago Bears	T 30-30	47,079
11	November 20, 1966	Philadelphia Eagles	L 35-34	31,993
12	November 24, 1966	at Detroit Lions	W 41-14	53,189
13	December 4, 1966	at Green Bay Packers	L 20-7	48,725
14	December 11, 1966	Chicago Bears	W 41-14	37,170
15	December 18, 1966	Baltimore Colts	L 30-14	40,005
