Place	Player	Country	Score	To par
1	Bill Rogers	United States	72-66=138	–2
T2	Ben Crenshaw	United States	72-67=139	–1
T2	Nick Job	England	70-69=139	–1
4	Bernhard Langer	West Germany	73-67=140	E
5	Sam Torrance	Scotland	72-69=141	+1
T6	David Graham	Australia	71-71=142	+2
T6	Tony Jacklin	England	71-71=142	+2
T6	Mark James	England	72-70=142	+2
T6	Tom Watson	United States	73-69=142	+2
T10	Gordon J. Brand	England	78-65=143	+3
T10	Bill Dunk	Australia	76-67=143	+3
T10	Trevor Powell	Wales	75-68=143	+3
T10	Peter Townsend	England	73-70=143	+3
