Preseason	Week 1 Sept 7	Week 2 Sept 14	Week 3 Sept 21	Week 4 Sept 28	Week 5 Oct 5	Week 6 Oct 12	Week 7 Oct 19	Week 8 Oct 26	Week 9 Nov 2	Week 10 Nov 9	Week 11 Nov 16	Week 12 Nov 23	Week 13 Nov 30	Week 14 Dec 7	Week 15 (Final) Jan 5
Ohio State (30)	Ohio State (1-0) (39)	Ohio State (2-0) (57)	Ohio State (3-0) (64)	Ohio State (3-0) (58)	Ohio State (4-0) (66)	Ohio State (5-0) (64)	Ohio State (6-0) (64)	Ohio State (7-0) (64)	Ohio State (8-0) (63)	Tennessee (8-0) (46)	Tennessee (9-0) (37)	Tennessee (10-0) (42)	Tennessee (11-0) (41)	Tennessee (12-0) (70)	Tennessee (13-0) (70)
Florida State (22)	Florida State (1-0) (22)	Florida (2-0) (9)	Nebraska (3-0) (1)	Nebraska (4-0) (7)	Nebraska (5-0) (1)	UCLA (4-0) (1)	UCLA (5-0) (1)	UCLA (6-0) (1)	Tennessee (7-0) (3)	Kansas State (9-0) (19)	Kansas State (10-0) (29)	Kansas State (11-0) (24)	Kansas State (11-0) (24)	Florida State (11-1)	Ohio State (11-1)
Florida (5)	Florida (1-0) (4)	Nebraska (3-0) (1)	UCLA (2-0) (1)	Tennessee (3-0) (2)	UCLA (3-0) (1)	Tennessee (5-0) (3)	Tennessee (5-0) (3)	Tennessee (6-0) (3)	UCLA (7-0) (1)	UCLA (8-0) (4)	UCLA (9-0) (4)	UCLA (10-0) (4)	UCLA (10-0) (3)	Ohio State (10-1)	Florida State (11-2)
Nebraska (4)	Nebraska (2-0) (2)	UCLA (1-0) (1)	Tennessee (2-0) (2)	UCLA (2-0) (1)	Tennessee (4-0)	Kansas State (5-0) (2)	Kansas State (6-0) (2)	Kansas State (7-0) (2)	Kansas State (8-0) (3)	Florida (8-1)	Florida (9-1)	Florida State (11-1)	Florida State (11-1)	Kansas State (11-1)	Arizona (12-1)
Michigan (4)	Kansas State (1-0) (2)	Kansas State (2-0) (2)	Kansas State (3-0) (2)	Kansas State (4-0) (2)	Kansas State (4-0) (2)	Florida (5-1)	Florida (6-1)	Florida State (7-1)	Florida (7-1)	Florida State (9-1) (1)	Florida State (10-1)	Ohio State (10-1)	Ohio State (10-1)	Arizona (11-1)	Florida (10-2)
Kansas State (2)	UCLA (0-0) (1)	Tennessee (1-0)	LSU (2-0)	LSU (3-0)	Florida (4-1)	Florida State (5-1)	Florida State (6-1)	Florida (6-1)	Florida State (8-1)	Texas A&M (9-1)	Texas A&M (10-1)	Texas A&M (10-1)	Arizona (11-1)	UCLA (10-1)	Wisconsin (11-1)
UCLA (1)	LSU (0-0)	LSU (1-0)	Penn State (3-0)	Penn State (3-0)	Georgia (4-0)	Virginia (5-0)	Nebraska (6-1)	Nebraska (7-1)	Texas A&M (8-1)	Ohio State (8-1)	Ohio State (9-1)	Arizona (10-1)	Florida (9-2)	Florida (9-2)	Tulane (12-0)
Arizona State (2)	Tennessee (1-0)	Penn State (2-0)	Florida (2-1)	Florida (3-1)	Florida State (4-1)	Nebraska (5-1)	Texas A&M (6-1)	Texas A&M (7-1)	Wisconsin (8-0)	Wisconsin (9-0)	Arizona (10-1)	Florida (9-2)	Wisconsin (10-1)	Texas A&M (11-2)	UCLA (10-2)
LSU	Penn State (1-0)	Washington (1-0)	Washington (2-0)	Florida State (3-1)	Virginia (5-0)	Wisconsin (6-0)	Wisconsin (7-0)	Wisconsin (8-0)	Penn State (6-1)	Arizona (9-1)	Arkansas (8-1)	Notre Dame (9-1)	Tulane (11-0)	Wisconsin (10-1)	Georgia Tech (10-2)
