Season	Date	Home team	Result	Away team	Stadium
1999/2000	19 September 1999	Bohemians	1–3	Shamrock Rovers	Dalymount Park
1999/2000	4 December 1999	Shamrock Rovers	0–1	Bohemians	Tolka Park
1999/2000	9 March 2000	Bohemians	0–0	Shamrock Rovers	Dalymount Park
2000/01	14 August 2000	Shamrock Rovers	0–0	Bohemians	Tolka Park
2000/01	3 November 2000	Bohemians	0–1	Shamrock Rovers	Dalymount Park
2000/01	28 January 2001	Shamrock Rovers	4–6	Bohemians	Morton Stadium
2001/02	7 September 2001	Bohemians	0–1	Shamrock Rovers	Dalymount Park
2001/02	9 November 2001	Shamrock Rovers	1–0	Bohemians	Richmond Park
2001/02	15 February 2002	Bohemians	1–1	Shamrock Rovers	Dalymount Park
2002/03	2 August 2002	Bohemians	3–2	Shamrock Rovers	Dalymount Park
2002/03	20 October 2002	Shamrock Rovers	1–1	Bohemians	Tolka Park
2002/03	13 December 2002	Bohemians	3–2	Shamrock Rovers	Dalymount Park
2003	27 April 2003	Bohemians	1–1	Shamrock Rovers	Dalymount Park
2003	1 September 2003	Shamrock Rovers	1–2	Bohemians	Richmond Park
2003	22 September 2003	Bohemians	2–1	Shamrock Rovers	Dalymount Park
2003	24 October 2003	Shamrock Rovers	0–0	Bohemians	Tolka Park
2004	16 April 2004	Bohemians	2–2	Shamrock Rovers	Dalymount Park
2004	12 June 2004	Shamrock Rovers	2–1	Bohemians	Dalymount Park
2004	27 August 2004	Bohemians	3–2	Shamrock Rovers	Dalymount Park
2004	5 November 2004	Shamrock Rovers	0–1	Bohemians	Tolka Park
2005	18 March 2005	Bohemians	1–1	Shamrock Rovers	Dalymount Park
2005	3 June 2005	Shamrock Rovers	1–2	Bohemians	Dalymount Park
2005	2 September 2005	Bohemians	1–3	Shamrock Rovers	Dalymount Park
2007	3 April 2007	Bohemians	2–1	Shamrock Rovers	Dalymount Park
2007	29 June 2007	Shamrock Rovers	1–1	Bohemians	Tolka Park
2007	17 September 2007	Bohemians	0–2	Shamrock Rovers	Dalymount Park
2008	4 April 2008	Shamrock Rovers	0–1	Bohemians	Tolka Park
2008	5 August 2008	Bohemians	2–1	Shamrock Rovers	Dalymount Park
2008	26 September 2008	Shamrock Rovers	1–2	Bohemians	Tolka Park
2009	20 March 2009	Bohemians	2–0	Shamrock Rovers	Dalymount Park
2009	16 May 2009	Shamrock Rovers	2–1	Bohemians	Tallaght Stadium
2009	26 July 2009	Bohemians	0–0	Shamrock Rovers	Dalymount Park
2009	2 October 2009	Shamrock Rovers	1–0	Bohemians	Tallaght Stadium
2010	9 April 2010	Shamrock Rovers	1–0	Bohemians	Tallaght Stadium
2010	29 May 2010	Bohemians	0–0	Shamrock Rovers	Dalymount Park
2010	8 August 2010	Shamrock Rovers	3–0	Bohemians	Tallaght Stadium
2010	5 October 2010	Bohemians	1–0	Shamrock Rovers	Dalymount Park
2011	15 April 2011	Bohemians	1–1	Shamrock Rovers	Dalymount Park
2011	30 May 2011	Shamrock Rovers	1–0	Bohemians	Tallaght Stadium
2011	5 August 2011	Bohemians	0–1	Shamrock Rovers	Dalymount Park
2011	5 October 2011	Shamrock Rovers	1–1	Bohemians	Tallaght Stadium
2012	30 March 2012	Shamrock Rovers	2–0	Bohemians	Tallaght Stadium
2012	29 June 2012	Bohemians	4–0	Shamrock Rovers	Dalymount Park
2012	10 September 2012	Shamrock Rovers	0–1	Bohemians	Tallaght Stadium
2013	19 March 2013	Bohemians	0–0	Shamrock Rovers	Dalymount Park
2013	17 May 2013	Shamrock Rovers	1–1	Bohemians	Tallaght Stadium
