Date	Region	Label	Catalogue	Format
17 April 1982	UK	Bronze	BRON 539	vinyl
17 April 1982	North America	Mercury	SRM-1-4042	vinyl
1982	France	WEA Filipacchi Music	893048	vinyl
1982	Germany	Bronze	204 636	vinyl
21/Dec/1982	Yugoslavia	Jugoton	LSBRO 11019	vinyl
1982	Australia/NZ	Bronze	L-37841	vinyl
1982	Brazil	Bronze	6328444	vinyl
1987	France	Castle Communications	CLACD 123	CD
1996	UK	Essential, Castle Music	ESM CD 372	CD
1999	US	Castle Music America	CDX CMACD-523	CD
2001	North America	Metal-Is	CDX 85211	CD
2003	Italy	Earmark	LPPIC 41017	180g vinyl picture disc, gatefold cover
2005	UK	Sanctuary	SMED-244	2CD
