Player	Tackles	Asst.	TotalTK	Sack	Yards	FumR
London Fletcher	96	37	133	0.5	0	1
Rocky McIntosh	61	27	88	2.0	4	0
Chris Horton	57	19	76	1.0	13	1
LaRon Landry	49	16	65	0.5	18	0
Carlos Rogers	49	7	56	0.0	73	0
Fred Smoot	43	11	54	0.0	0	0
H.B. Blades	41	19	60	0.0	0	0
Shawn Springs	31	5	36	1.0	0	0
Marcus Washington	25	19	44	0.0	0	0
Andre Carter	23	14	37	4.0	0	0
Jason Taylor	21	8	29	3.5	0	0
Demetric Evans	20	13	33	3.5	0	0
DeAngelo Hall	20	5	25	0.0	6	0
Kedric Golston	19	9	28	2.0	0	0
Mike Green	16	4	20	0.0	0	0
Cornelius Griffin	16	11	27	1.0	0	0
Anthony Montgomery	15	8	23	2.0	0	0
Reed Doughty	15	4	19	0.0	0	0
Lorenzo Alexander	11	6	17	2.0	0	0
Mike Sellers	11	2	13	0.0	0	0
Kareem Moore	11	6	17	0.0	0	0
Leigh Torrence	11	5	16	0.0	0	0
Khary Campbell	11	2	13	0.0	0	0
James Thrash	10	2	12	0.0	0	0
Chris Wilson	8	6	14	1.0	0	0
Rock Cartwright	6	3	9	0.0	0	0
Alfred Fincher	4	2	6	0.0	0	0
Justin Tryon	4	0	4	0.0	0	0
Shaun Suisham	3	0	3	0.0	0	0
Devin Thomas	3	3	6	0.0	0	0
Clinton Portis	3	0	3	0.0	0	0
Todd Yoder	2	1	3	0.0	0	0
Antwaan Randle El	2	0	2	0.0	0	0
Santana Moss	2	0	2	0.0	0	0
Ryan Boschetti	2	0	2	0.0	0	0
Rob Jackson	1	0	1	0.0	0	0
Casey Rabach	1	0	1	0.0	0	0
Ladell Betts	1	0	1	0.0	0	0
Ethan Albright	1	0	1	0.0	0	0
Jason Campbell	1	0	1	0.0	0	0
Chris Cooley	1	0	1	0.0	0	0
Chris Samuels	1	0	1	0.0	0	0
Stephon Heyer	1	0	1	0.0	0	0
