School Year	Class A	Class AA	Class AAA	Class AAAA	Class AAAAA
1992-93	Lazbuddie	Bangs	Cameron Yoe	Dayton	Abilene
1993-94	Lazbuddie	Rosebud-Lott	Mont Belvieu Barbers Hill	Sulphur Springs	Duncanville
1994-95	Lazbuddie	Rosebud-Lott	Mont Belvieu Barbers Hill	Rockwall	Duncanville
1995-96	Lazbuddie	Rosebud-Lott	Mount Vernon	Rockwall	Abilene
1996-97	Lazbuddie	Rosebud-Lott	Dalhart	Sherman	Duncanville
1997-98	Trenton	Rosebud-Lott	Dalhart	Snyder	Abilene
1998-99	Lazbuddie	Rosebud-Lott	Dalhart	Los Fresnos	Abilene
1999-2000	Lazbuddie	Rosebud-Lott	Dalhart	Sulphur Springs	Abilene
2000-01	Lazbuddie	Rosebud-Lott	Cameron Yoe	Snyder	Abilene
2001-02	(unavailable)	(unavailable)	(unavailable)	(unavailable)	(unavailable)
2002-03	(unavailable)	(unavailable)	(unavailable)	(unavailable)	(unavailable)
2003-04	Trenton	Rosebud-Lott	Hamshire-Fannett	Cleburne	Southlake Carroll
2004-05	Trenton	Rosebud-Lott	Dalhart	Brownwood	Keller
2005-06	Trenton	Rosebud-Lott	Dalhart	Brownwood	Keller
2006-07	Trenton	Tuscola Jim Ned	Hamshire-Fannett	Brownwood	Keller
2007-08	Happy	Rosebud-Lott	Hamshire-Fannett	Brownwood	Keller
2008-09	Happy	Rosebud-Lott	Snyder	Magnolia	Fort Bend Dulles
2009-10	Happy	Grandview	Giddings	Granbury	Laredo United
2010-11	Happy	Rosebud-Lott	Giddings	Granbury	Fort Bend Dulles
