Place	Player	Country	Score	To par
T1	Ian Baker-Finch	Australia	68-66-71=205	–11
T1	Tom Watson	United States	71-68-66=205	–11
T3	Seve Ballesteros	Spain	69-68-70=207	–9
T3	Bernhard Langer	West Germany	71-68-68=207	–9
T5	Hugh Baiocchi	South Africa	72-70-70=212	–4
T5	Lee Trevino	United States	70-67-75=212	–4
T5	Lanny Wadkins	United States	70-69-73=212	–4
T8	José Maria Cañizares	Spain	70-71-72=213	–3
T8	Fred Couples	United States	70-69-74=213	–3
T8	Nick Faldo	England	69-68-76=213	–3
T8	Hale Irwin	United States	75-68-70=213	–3
T8	Peter Jacobsen	United States	67-73-73=213	–3
T8	Mark McCumber	United States	74-67-72=213	–3
T8	Gil Morgan	United States	71-71-71=213	–3
T8	Ronan Rafferty	Northern Ireland	74-72-67=213	–3
