Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2003	Formula Renault UK	Eurotek Motorsport	17	1	2	1	2	233	7th
2003	Formula Renault UK	Team JVA	17	1	2	1	2	233	7th
2004	Formula Renault UK	Manor Motorsport	20	4	4	2	9	415	3rd
2004	Formula Renault 2000 Eurocup	Manor Motorsport	3	0	0	0	1	0	NC†
2004	Bahrain Superprix	Manor Motorsport	1	0	0	0	0	N/A	NC
2005	Formula 3 Euro Series	Manor Motorsport	19	0	3	2	1	32	10th
2005	Masters of Formula 3	Manor Motorsport	1	0	0	0	0	N/A	4th
2006	Formula 3 Euro Series	ASM Formule 3	20	5	5	1	9	86	1st
2006	Masters of Formula 3	ASM Formule 3	1	1	0	0	0	N/A	1st
2006	Macau Grand Prix	ASM Formule 3	1	0	0	0	0	N/A	NC
2007	Deutsche Tourenwagen Masters	Persson Motorsport	10	0	0	0	4	32	5th
2008	Deutsche Tourenwagen Masters	HWA Team	11	2	1	4	7	71	2nd
2009	Deutsche Tourenwagen Masters	HWA Team	10	1	1	2	3	45	3rd
2010	Deutsche Tourenwagen Masters	HWA Team	11	3	3	1	7	71	1st
2010	Formula One	Force India F1 Team	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2011	Formula One	Force India F1 Team	19	0	0	0	0	27	13th
2012	Formula One	Sahara Force India F1 Team	20	0	0	0	0	46	14th
2013	Formula One	Sahara Force India F1 Team	17	0	0	0	0	48*	10th*
