Week	Player	Team	Opponent	Carries	Yards	Average	Touchdowns
1	Clinton Portis	DEN	CIN	24	120	5.0	2
2	Jamal Lewis	BAL	CLE	30	295	9.8	2
3	Ricky Williams	MIA	BUF	42	153	3.6	1
4	Ahman Green	GB	CHI	19	176	9.3	2
5	Ahman Green	GB	SEA	27	118	4.4	2
6	William Green	CLE	OAK	26	145	5.6	1
7	Travis Henry	BUF	WAS	31	167	5.4	2
8	Stephen Davis	CAR	NO	31	178	5.7	2
9	Ahman Green	GB	MIN	21	137	6.5	0
10	LaDainian Tomlinson	SD	MIN	16	162	10.1	2
11	Deuce McAllister	NO	ATL	28	173	6.2	2
12	Deuce McAllister	NO	PHI	19	184	9.7	2
13	Clinton Portis	DEN	OAK	34	170	5.0	2
14	Clinton Portis	DEN	KC	22	218	9.9	5
15	Rudi Johnson	CIN	SF	21	174	8.3	2
16	Jamal Lewis	BAL	CLE	22	205	9.3	2
