Season	League	Teams	Home	Away
1945-46	Oberliga Süd (I)	1. FC Nuremberg - SpVgg Fürth	5-3	2-2
1946-47	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	5-1	3-1
1947-48	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	0-2	2-1
1949-50	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	1-2	1-2
1950-51	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	2-2	0-1
1951-52	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	2-0	3-3
1952-53	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	2-2	1-4
1953-54	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	1-1	2-0
1954-55	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	0-0	1-2
1955-56	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	2-1	3-0
1956-57	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	2-7	2-2
1957-58	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	2-1	2-2
1958-59	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	2-1	0-1
1959-60	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	0-2	4-2
1960-61	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	4-1	3-1
1961-62	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	2-0	0-0
1962-63	Oberliga Süd	1. FC Nuremberg - SpVgg Fürth	5-1	5-3
1969-70	Regionalliga Süd (II)	1. FC Nuremberg - SpVgg Fürth	1-0	4-0
1970-71	Regionalliga Süd	1. FC Nuremberg - SpVgg Fürth	1-0	0-0
1971-72	Regionalliga Süd	1. FC Nuremberg - SpVgg Fürth	1-0	1-2
1972-73	Regionalliga Süd	1. FC Nuremberg - SpVgg Fürth	0-1	0-2
1973-74	Regionalliga Süd	1. FC Nuremberg - SpVgg Fürth	2-1	1-0
1974-75	2nd Bundesliga Süd (II)	1. FC Nuremberg - SpVgg Fürth	2-0	2-3
1975-76	2nd Bundesliga Süd	1. FC Nuremberg - SpVgg Fürth	3-2	3-2
1976-77	2nd Bundesliga Süd	1. FC Nuremberg - SpVgg Fürth	1-1	2-0
1977-78	2nd Bundesliga Süd	1. FC Nuremberg - SpVgg Fürth	2-1	2-0
1979-80	2nd Bundesliga Süd	1. FC Nuremberg - SpVgg Fürth	0-0	4-1
1980-81	DFB-Pokal	SpVgg Fürth - 1. FC Nuremberg	1-1 aet	0-3
