Rank	Country/territory/entity	Population	% of world population	Region
1	Vatican City	839	0%	Europe
2	Nauru	9,434	1.0E-4%	Oceania
3	Tuvalu	10,698	1.0E-4%	Oceania
4	Palau	21,108	3.0E-4%	Oceania
5	San Marino	32,448	5.0E-4%	Europe
6	Monaco	36,136	5.0E-4%	Europe
7	Liechtenstein	37,009	5.0E-4%	Europe
8	Saint Kitts and Nevis	51,134	7.0E-4%	Caribbean
9	Marshall Islands	69,747	0.001%	Oceania
10	Dominica	73,286	0.001%	Caribbean
11	Andorra	85,293	0.0012%	Europe
12	Antigua and Barbuda	90,156	0.0013%	Caribbean
13	Seychelles	90,846	0.0013%	Africa - Indian Ocean
14	Saint Vincent and the Grenadines	103,220	0.0014%	Caribbean
15	Kiribati	103,248	0.0014%	Oceania
16	Federated States of Micronesia	106,104	0.0015%	Oceania
17	Tonga	106,322	0.0015%	Oceania
18	Grenada	109,590	0.0015%	Caribbean
19	Saint Lucia	162,781	0.0023%	Caribbean
20	São Tomé and Príncipe	186,817	0.0026%	Africa - Atlantic Ocean
21	Samoa	195,476	0.0027%	Oceania
22	Vanuatu	261,565	0.0037%	Oceania
23	Barbados	288,725	0.004%	Caribbean
24	Iceland	315,281	0.0044%	Europe
25	Bahamas	319,031	0.0045%	Caribbean
26	Belize	334,297	0.0047%	Central America
27	Maldives	393,988	0.0055%	Asia - Indian Ocean
28	Malta	411,277	0.0058%	Europe - Mediterranean Sea
29	Brunei	415,717	0.0058%	Asia
