Name	Jewel	Species	Gender	Jewel Power	Attribute	Birthday	Media Debut	Voice actor
Ruby ( ルビー ? )	Ruby	Japanese Hare	Female	Courage	Magical Red	July 25	EP 1	Ayaka Saito
Garnet ( ガーネット ? )	Garnet	Persian Cat	Female	Love	Magical Red	January 8	EP 1	Aya Hirano
Sapphie ( サフィー ? )	Sapphire	Cavalier King Charles Spaniel	Female	Friendship	Magical Blue	September 1	EP 1	Nozomi Sasaki
Diana ( ダイアナ ? )	Diamond	Munchkin	Female	Dark Magic Charisma	Magical Black Dark Magic	April 20	EP 4	Rumi Shishido
Rin ( リン ? )	Citrine	Parakeet	Female	Prosperity	Magical Red	November 23	EP 4	Mayu Hayakawa
Chite ( カイト ? )	Malachite	Jack Russell Terrier	Male	Assistance	Magical Green	December 4	EP 5	Miyuki Sawashiro
Prase ( プレーズ ? )	Chrysoprase	Toy Poodle	Female	Study	Magical Green	February 14	EP 6	Ai Iwamura
King ( キング ? )	Onyx	French Bulldog	Male	Health	Magical Black	August 10	EP 7	Hidenobu Kiuchi
Rald ( ラルド ? )	Emerald	Panda	Male	Harmony	Magical Green	May 17	EP 8	Mayumi Tsuchiya
Ryl ( リル ? )	Red Beryl	Miniature pig	Female	Mind and Body Purification	Magical Red	April 24	EP 9	Tomomi Fujita
Tour ( トール ? )	Tourmaline	American Shorthair	Male	Adventure	Magical Green	October 13	EP 10	Junko Takeuchi
Fluola ( フローラ ? )	Fluorite	Sheep	Female	Future Prediction	Magical Green	January 17	EP 11	Aki Kanada
Peridot ( ペリドット ? )	Peridot	Papillon	Female	Dream Fulfillment	Magical Green	August 3	EP 12	Yuki Kaida
Kohaku ( コハク ? )	Amber	Shiba Inu	Male	Economic Fortune Improvement	Magical Red	June 5	EP 14	Junko Minagawa
Luna ( ルナ ? )	Moonstone	Netherland Dwarf	Female	Charm Improvement	Magical Blue	June 8	EP 15	Rumi Shishido
Nephrite ( ネフライト ? )	Nephrite	Welsh Corgi	Male	Teamwork and Leading	Magical Green	February 1	EP 16	Megumi Ozaki
Yuku ( ユーク ? )	Euclase	Beagle	Male	Intellect and Vision	Magical Blue	November 3	EP 17	Hitomi Yoshida
Aqua ( アクア ? )	Aquamarine	Clownfish	Male	Calm Reliever	Magical Blue	March 26	EP 21	Yakkun Sakurazuka
Kaiya ( カイヤ ? )	Kyanite	Siamese Cat	Female	Independence	Magical Blue	May 15	EP 24	Kanako Sakai
Opal ( オパール ? )	Opal	Unicorn	Female	Awakening and Miracles	Magical Blue	October 3	EP 26	Miyuki Sawashiro
Titana ( チターナ ? )	Titanite	Chipmunk	Male	Balance	Magical Red	September 23	EP 29	Erika
Sango ( サンゴ ? )	Coral	Tabby cat	Female	Luck	Magical Red	July 10	EP 31	Rei Sakai (Jewelpet) Ai Shimizu (Jewelpet Twinkle)
Tata ( タータ ? )	Turquoise	Squirrel monkey	Male	Courage	Magical Green	December 19	EP 32	Junko Takeuchi
Nix ( ニック ? )	Sardonyx	Ferret	Male	Reconciliation	Magical Red	August 22	EP 33	Yuichi Inokuchi
Amelie ( アメリ ? )	Amethyst	Djungarian Hamster	Female	Bond	Magical Blue	February 9	EP 34	Aoi Yūki
Lapis ( ラピス ? )	Lapis lazuli	Russian Blue	Female	Illness Recovery	Magical Blue	September 15	EP 35	Junko Takeuchi
Kris ( クリス ? )	Chrysocolla	Miniature dachshund	Male	Success in Work	Magical Green	July 5	EP 37	Aki Kanada
Io ( イオ ? )	Iolite	Holland Lop	Male	Refresh	Magical Blue	December 29	EP 38	Nozomi Sasaki
Labra ( ラブラ ? )	Labradorite	Polar Bear	Female	Mischief	Magical Black	December 27	EP 39	Miyuki Sawashiro
Topaz ( トパーズ ? )	Topaz	Yorkshire Terrier	Female	Confidence	Magical Blue	November 12	EP 42	Aki Kanada
Brownie ( ブラウニー ? )	Brown Quartz	Hedgehog	Male	Imagination	Magical Red	October 23	EP 44	Yui Hatano
Angela ( エンジェラ ? )	Anhydrite	Alpaca	Female	Solace	Magical Green	March 30	JPT EP 36 (Jewel Charm Form Only)	Aki Toyosaki (Jewelpet Sunshine)
Charlotte ( チャロット ? )	Charoite	Honey Bee	Female	Challenging Spirit	Magical Blue	April 3	JPT EP 46	MAKO
Jasper ( ジャスパー ? )	Jasper	Cheetah	Male	Honesty	Magical Red	February 14	JPT EP 43 (End Segment)	KENN
Coal ( コール ? )	Coal	Capybara	Male	Endurance	Magical Black	September 6	JPKD EP 3	Yoji Ueda
Granite ( グラナイト ? )	Granite	White lion	Male	Security	Magical Black	December 1	JPS EP 52	Atsushi Tamaru
Rossa ( ローサ ? )	Inca Rose	Ussuri brown bear	Female	Passion	Magical Red	July 18	JPKD EP 52	Ai Kayano
