Club	Nickname	Location	Home Ground	GFL Premierships	Years in GFL
Bell Park	Dragons	Bell Park, Victoria	Hamlyn Park	1984, 1991, 2003, 2011	1979-
Colac	Tigers	Colac, Victoria	Central Reserve	Nil	2001-
Grovedale	Tigers	Grovedale, Victoria	Burdoo Reserve	Nil	1979-
Geelong West-St Peters	Roosters	Geelong West, Victoria	West Oval	Nil	1988-
Lara	Cats	Lara, Victoria	Lara Recreation Reserve	1994, 2002	1989-
Leopold	Lions	Leopold, Victoria	Leopold Memorial Park	Nil	1992-
Newtown & Chilwell	Eagles	Newtown, Victoria	Elderslie Reserve	1982, 1985-86	1979-
North Shore	Seagulls	North Shore, Victoria	Windsor Park	1980-81, 1983, 1990, 1993, 1995-2000	1979-
South Barwon	Swans	Belmont, Victoria	McDonald Reserve	2001, 2005-06-07, 2009-10, 2012-13	1990-
St Albans	Supersaints	Thomson, Victoria	St Albans Reserve	1987-88	1979-
St Joseph's	Joeys	Herne Hill, Victoria	Herne Hill Reserve	1989	1985-
St Mary's	Saints	South Geelong, Victoria	Kardinia Park West	1979, 1992, 2004, 2008	1979-
