Driver	Constructor	Laps	Time/Retired	Grid
Juan Manuel Fangio	Maserati	77	3:07:46.4	1
Luigi Musso	Ferrari	77	+50.8 secs	3
Peter Collins	Ferrari	77	+2:06.0	5
Mike Hawthorn	Ferrari	76	+1 Lap	7
Harry Schell	Maserati	70	+7 Laps	4
Jean Behra	Maserati	69	+8 Laps	2
Mike MacDowel Jack Brabham	Cooper - Climax	68	+9 Laps	15
Carlos Menditeguy	Maserati	30	Engine	9
Stuart Lewis-Evans	Vanwall	30	Steering	10
Roy Salvadori	Vanwall	25	Engine	6
Herbert MacKay-Fraser	BRM	24	Transmission	12
Maurice Trintignant	Ferrari	23	Electrical	8
Jack Brabham	Cooper - Climax	4	Accident	13
Horace Gould	Maserati	4	Halfshaft	14
Ron Flockhart	BRM	2	Accident	11
