Tournament	Surface	Week	Winner	Finalist	Semifinalists
Tokyo	Carpet (i)	January 31	Maria Sharapova 6-1, 3-6, 7-6(5)	Lindsay Davenport	Svetlana Kuznetsova Shinobu Asagoe
Indian Wells	Hard	March 7	Kim Clijsters 6-4, 4-6, 6-2	Lindsay Davenport	Maria Sharapova Elena Dementieva
Miami	Hard	March 21	Kim Clijsters 6-3, 7-5	Maria Sharapova	Amélie Mauresmo Venus Williams
Charleston	Clay	April 11	Justine Henin-Hardenne 7-5, 6-4	Elena Dementieva	Tatiana Golovin Patty Schnyder
Berlin	Clay	May 2	Justine Henin-Hardenne 6-3, 4-6, 6-3	Nadia Petrova	Patty Schnyder Jelena Janković
Rome	Clay	May 9	Amélie Mauresmo 2-6, 6-3, 6-4	Patty Schnyder	Maria Sharapova Vera Zvonareva
San Diego	Hard	August 1	Mary Pierce 6-0, 6-3	Ai Sugiyama	Shuai Peng Akiko Morigami
Toronto	Hard	August 15	Kim Clijsters 7-5, 6-1	Justine Henin-Hardenne	Anastasia Myskina Amélie Mauresmo
Moscow	Carpet (i)	October 10	Mary Pierce 6-4, 6-3	Francesca Schiavone	Dinara Safina Elena Dementieva
Zurich	Carpet (i)	October 17	Lindsay Davenport 7-6(5), 6-3	Patty Schnyder	Anastasia Myskina Ana Ivanovic
