Rank	Title	Studio	Director(s)	Worldwide Gross
1.	The Avengers	Marvel / Disney	Joss Whedon	$1,511,757,910
2.	Skyfall	MGM / Columbia Pictures	Sam Mendes	$1,108,561,013
3.	The Dark Knight Rises	Warner Bros. / Legendary Pictures	Christopher Nolan	$1,084,439,099
4.	The Hobbit: An Unexpected Journey	Warner Bros. / MGM / New Line	Peter Jackson	$1,017,003,568
5.	Ice Age: Continental Drift	20th Century Fox / Blue Sky	Steve Martino and Mike Thurmeier	$877,244,782
6.	The Twilight Saga: Breaking Dawn – Part 2	Lionsgate / Summit	Bill Condon	$829,224,737
7.	The Amazing Spider-Man	Columbia Pictures	Marc Webb	$752,216,557
8.	Madagascar 3: Europe's Most Wanted	Paramount / DreamWorks	Eric Darnell , Tom McGrath and Conrad Vernon	$746,921,274
9.	The Hunger Games	Lionsgate	Gary Ross	$691,247,768
10.	Men in Black 3	Columbia Pictures	Barry Sonnenfeld	$624,026,776
11.	Life of Pi	20th Century Fox	Ang Lee	$609,016,565
12.	Ted	Universal Pictures	Seth MacFarlane	$549,368,315
13.	Brave	Walt Disney Pictures / Pixar Animation Studios	Mark Andrews and Brenda Chapman	$538,983,207
14.	Wreck-It Ralph	Walt Disney Pictures	Rich Moore	$471,222,889
15.	Les Misérables	Universal Pictures	Tom Hooper	$441,809,770
16.	The Intouchables	Gaumont Film Company	Olivier Nakache and Éric Toledano	$426,588,510
17.	Django Unchained	The Weinstein Company / Columbia Pictures	Quentin Tarantino	$425,368,238
18.	Prometheus	20th Century Fox	Ridley Scott	$403,354,469
19.	Snow White and the Huntsman	Universal Pictures	Rupert Sanders	$396,592,829
20.	Taken 2	20th Century Fox	Olivier Megaton	$376,141,306
