Date	Opponent	Score	Loss	Crowd	Record
Jun 1	BAL	W 14-2	McGregor	47,252	38-9
Jun 2	BAL	L 0-5	Morris	40,292	38-10
Jun 3	BAL	L 1-2	Wilcox	34,228	38-11
Jun 4	TOR	W 6-3 (10)	Key	26,733	39-11
Jun 5	TOR	L 4-8	Abbott	35,983	39-12
Jun 6	TOR	L 3-6	Petry	38,167	39-13
Jun 7	TOR	W 5-3	Clancy	40,879	40-13
Jun 8	@BAL	W 3-2	Davis	50,361	41-13
Jun 9	@BAL	L 0-4	Berenguer	44,404	41-14
Jun 10	@BAL	W 10-4	Boddicker	N/A	42-14
Jun 10	@BAL	W 8-0	Martinez	51,764	43-14
Jun 11	@TOR	W 5-4	Leal	35,062	44-14
Jun 12	@TOR	L 3-12	Morris	40,437	44-15
Jun 13	@TOR	L 3-7	Wilcox	34,122	44-16
Jun 15	@MIL	W 3-2	Cocanower	32,074	45-16
Jun 16	@MIL	W 6-0	Sutton	50,395	46-16
Jun 17	@MIL	W 7-4	McClure	44,902	47-16
Jun 18	NYY	L 1-2	Wilcox	40,315	47-17
Jun 19	NYY	W 7-6	Guidry	41,192	48-17
Jun 20	NYY	W 9-6 (13)	Rijo	43,972	49-17
Jun 21	MIL	L 3-4	Berenguer	32,291	49-18
Jun 22	MIL	W 7-3	McClure	48,497	50-18
Jun 23	MIL	W 5-1	Porter	44,680	51-18
Jun 24	MIL	W 7-1	Haas	39,067	52-18
Jun 25	@NYY	L 3-7	Bair	29,237	52-19
Jun 26	@NYY	W 9-7 (10)	Christiansen	32,301	53-19
Jun 27	@NYY	L 4-5	Willis	30,428	53-20
Jun 29	MIN	L 3-5	Morris	N/A	53-21
Jun 29	MIN	W 7-5	Filson	44,619	54-21
Jun 30	MIN	W 4-3	Schrom	48,095	55-21
