School	Location	Enrolment	Founded	Denomination	Boys/Girls	Day/Boarding	School Colors
Dominic College	Glenorchy	625	1973	Catholic	Boys & Girls	Day	Maroon & Gold
The Fahan School	Sandy Bay	370	1935	Non-denominational	Girls	Day	Orange, White & Blue
The Friends' School	North Hobart	1300	1887	Quaker	Boys & Girls	Day & Boarding	Blue, Red & Grey
Guilford Young College	Hobart	1000	1995	Catholic	Boys & Girls	Day	Blue, Gold & Red
The Hutchins School	Sandy Bay	1000	1846	Anglican	Boys	Day & Boarding	Magenta, Black & Gold
Launceston Church Grammar School	Launceston	770	1846	Anglican	Boys & Girls	Day	Blue, Black & White
MacKillop College	Mornington	560	1994	Catholic	Boys & Girls	Day	Navy and Red
Marist Regional College	Burnie	900	1972	Catholic	Boys & Girls	Day	Navy and Light Blue
Mount Carmel College, Sandy Bay	Sandy Bay	540	1942	Catholic	Girls	Day	Navy, Gold And White
Sacred Heart College	New Town	1142	1888	Catholic	Boys & Girls	Day	Red,Blue &White
St Brendan-Shaw College	Devonport	639	1981	Catholic	Boys & Girls	Day	Navy and Green
St Mary's College	Hobart	770	1868	Catholic	Girls	Day	Green, Pale Blue & Brown
St Michael's Collegiate School	Hobart	900	1892	Anglican	Girls	Day	Maroon & Cream
St Patrick's College	Launceston	1200	1938	Catholic	Boys & Girls	Day	Green And Gold
St Virgil's College	Hobart	650	1911	Catholic	Boys	Day	Royal Blue, Green & Gold
Scotch Oakburn College	Launceston	1100	1979	Uniting	Boys & Girls	Day & Boarding	Blue, Gold & Maroon
