Departure	Going to	Calling at	Arrival	Operator
03.29	Peterborough East	Wansford, Peterborough East	04.05	LNWR
03.35	Stamford	Stamford	03.52	LNWR
09.50	Stamford	Morcott, Luffenham, Ketton & Collyweston, Stamford	10.16	LNWR
09.54	Uppingham	Uppingham	10.05	LNWR
12.09	Peterborough East	King's Cliffe, Wansford, Peterborough East	12.40	LNWR
12.12	Stamford	Morcott, Luffenham, Ketton & Collyweston, Stamford	12.35	LNWR
12.15	Uppingham	Uppingham	12.25	LNWR
14.30	Uppingham	Uppingham	14.40	LNWR
14.35	Stamford	Morcott, Luffenham, Ketton & Collyweston, Stamford	14.58	LNWR
17.10 Fri only	Uppingham	Uppingham	17.20	LNWR
18.17	Uppingham	Uppingham	18.27	LNWR
18.19	Stamford	Morcott, Luffenham, Ketton & Collyweston, Stamford	18.42	LNWR
19.10	Market Harborough	Rockingham, Ashley & Weston, Market Harborough	19.35	LNWR
20.35	Rugby	Market Harborough, Welford & Lutterworth, Rugby	21.32	LNWR
