Train Number	Train Name	Departure Pune	Arrival Lonavla	Frequency	Origin
99804	Lonavala Local	04:45	06:05	Daily	Pune Railway Station
99806	Lonavala Local	05:45	07:05	Daily	Pune Railway Station
99808	Lonavala Local	06:30	07:50	Daily	Pune Railway Station
99810	Lonavala Local	08:05	10:25	Daily	Pune Railway Station
99812	Lonavala Local	09:55	11:15	Daily	Pune Railway Station
99814	Lonavala Local	10:50	12:25	Daily	Shivajinagar Station
99816	Lonavala Local	12:05	13:17	Daily	Pune Railway Station
99820	Lonavala Local	13:00	14:20	Daily	Pune Railway Station
99822	Lonavala Local	16:25	17:45	Daily	Pune Railway Station
99824	Lonavala Local	16:25	17:37	Daily	Pune Railway Station
99826	Lonavala Local	19:05	20:25	Daily.	Pune Railway Station
99828	Lonavala Local	19:35	21:05	Daily	Shivajinagar Station
99830	Lonavala Local	20:00	21:20	Daily	Pune Railway Station
99832	Lonavala Local	20:00	21:12	Daily	Pune Railway Station
99834	Lonavala Local	20:45	21:57	Daily	Pune Railway Station
99836	Lonavala Local	21:10	22:22	Daily	Pune Railway Station
