Outcome	Year	Championship	Surface	Opponent	Score
Runner-up	2007	US Open (1)	Hard	Roger Federer	6–7 (4–7) , 6–7 (2–7) , 4–6
Winner	2008	Australian Open (1)	Hard	Jo-Wilfried Tsonga	4–6, 6–4, 6–3, 7–6 (7–2)
Runner-up	2010	US Open (2)	Hard	Rafael Nadal	4–6, 7–5, 4–6, 2–6
Winner	2011	Australian Open (2)	Hard	Andy Murray	6–4, 6–2, 6–3
Winner	2011	Wimbledon (1)	Grass	Rafael Nadal	6–4, 6–1, 1–6, 6–3
Winner	2011	US Open (1)	Hard	Rafael Nadal	6–2, 6–4, 6–7 (3–7) , 6–1
Winner	2012	Australian Open (3)	Hard	Rafael Nadal	5–7, 6–4, 6–2, 6–7 (5–7) , 7–5
Runner-up	2012	French Open (1)	Clay	Rafael Nadal	4–6, 3–6, 6–2, 5–7
Runner-up	2012	US Open (3)	Hard	Andy Murray	6–7 (10–12) , 5–7, 6–2, 6–3, 2–6
Winner	2013	Australian Open (4)	Hard	Andy Murray	6–7 (2–7) , 7–6 (7–3) , 6–3, 6–2
Runner-up	2013	Wimbledon	Grass	Andy Murray	4–6, 5–7, 4–6
Runner-up	2013	US Open	Hard	Rafael Nadal	2–6, 6–3, 4–6, 1–6
