Code	Type	Name	Area (km 2 )	Population	Regional County Municipality	Region
32013	M	Saint-Ferdinand	137.07	2,386	L'Érable	17
32023	M	Sainte-Sophie-d'Halifax	91.11	635	L'Érable	17
32033	V	Princeville	198	5,730	L'Érable	17
32040	V	Plessisville	4.44	6,706	L'Érable	17
32045	P	Plessisville	136.29	2,629	L'Érable	17
32050	P	Saint-Pierre-Baptiste	80.72	495	L'Érable	17
32058	M	Inverness	176.35	847	L'Érable	17
32065	M	Lyster	162.35	1,640	L'Érable	17
32072	M	Laurierville	110.62	1,512	L'Érable	17
32080	P	Notre-Dame-de-Lourdes	83.39	724	L'Érable	17
32085	M	Villeroy	100.41	511	L'Érable	17
38005	M	Saint-Sylvère	85.02	843	Bécancour	17
38010	V	Bécancour	434.28	11,527	Bécancour	17
38015	M	Sainte-Marie-de-Blandford	68.29	491	Bécancour	17
38020	M	Lemieux	74.79	341	Bécancour	17
38028	M	Manseau	102.5	903	Bécancour	17
38035	M	Sainte-Françoise	89.12	509	Bécancour	17
38040	P	Sainte-Sophie-de-Lévrard	82.38	795	Bécancour	17
38047	M	Fortierville	45.53	689	Bécancour	17
38055	P	Parisville	36.85	532	Bécancour	17
38060	P	Sainte-Cécile-de-Lévrard	33.35	425	Bécancour	17
38065	M	Saint-Pierre-les-Becquets	43.00	1,205	Bécancour	17
38070	M	Deschaillons-sur-Saint-Laurent	37.70	978	Bécancour	17
39005	P	Saints-Martyrs-Canadiens	109.37	237	Arthabaska	17
39010	CT	Ham-Nord	101.60	951	Arthabaska	17
39015	M	Notre-Dame-de-Ham	32.34	419	Arthabaska	17
39020	M	Saint-Rémi-de-Tingwick	72.18	478	Arthabaska	17
39025	M	Tingwick	168.93	1,492	Arthabaska	17
39030	M	Chesterville	114.89	893	Arthabaska	17
39035	M	Sainte-Hélène-de-Chester	82.87	407	Arthabaska	17
39043	M	Saint-Norbert-d'Arthabaska	113.66	892	Arthabaska	17
39060	P	Saint-Christophe-d'Arthabaska	74.87	2,541	Arthabaska	17
39062	V	Victoriaville	81.96	40,853	Arthabaska	17
39077	V	Warwick	114.01	4,720	Arthabaska	17
39085	M	Saint-Albert	70.36	1,505	Arthabaska	17
39090	M	Sainte-Élizabeth-de-Warwick	50.51	405	Arthabaska	17
39097	V	Kingsey Falls	70.14	2,056	Arthabaska	17
39105	P	Sainte-Séraphine	75.73	433	Arthabaska	17
39117	M	Sainte-Clotilde-de-Horton	118.44	1,570	Arthabaska	17
39130	M	Saint-Samuel	42.89	705	Arthabaska	17
39135	M	Saint-Valère	108.13	1,347	Arthabaska	17
39145	P	Saint-Rosaire	109.84	802	Arthabaska	17
39150	M	Sainte-Anne-du-Sault	56.09	1,332	Arthabaska	17
39155	V	Daveluyville	2.25	958	Arthabaska	17
39165	CT	Maddington	23.38	454	Arthabaska	17
39170	M	Saint-Louis-de-Blandford	106.70	905	Arthabaska	17
49005	M	Saint-Félix-de-Kingsey	125.38	1,517	Drummond	17
49015	M	Durham-Sud	92.02	1,133	Drummond	17
49020	M	Lefebvre	65.75	875	Drummond	17
49025	M	L'Avenir	96.47	1,298	Drummond	17
49030	M	Saint-Lucien	113.61	1,394	Drummond	17
49040	M	Wickham	97.72	2,447	Drummond	17
49048	M	Saint-Germain-de-Grantham	86.29	3,920	Drummond	17
49058	V	Drummondville	249.80	68,091	Drummond	17
49070	M	Saint-Cyrille-de-Wendover	112.24	4,069	Drummond	17
49075	VL	Notre-Dame-du-Bon-Conseil	4.22	1,433	Drummond	17
49080	P	Notre-Dame-du-Bon-Conseil	86.42	971	Drummond	17
49085	P	Sainte-Brigitte-des-Saults	69.23	760	Drummond	17
49095	P	Saint-Majorique-de-Grantham	57.26	1,052	Drummond	17
49100	P	Saint-Edmond-de-Grantham	48.79	662	Drummond	17
49105	M	Saint-Eugène	76.37	1,139	Drummond	17
49113	M	Saint-Guillaume	86.83	1,593	Drummond	17
49125	M	Saint-Bonaventure	78.83	1,054	Drummond	17
49130	P	Saint-Pie-de-Guire	52.34	461	Drummond	17
50005	M	Sainte-Eulalie	90.79	864	Nicolet-Yamaska	17
50013	M	Aston-Jonction	26.43	386	Nicolet-Yamaska	17
50023	M	Saint-Wenceslas	78.42	1,147	Nicolet-Yamaska	17
50030	VL	Saint-Célestin	1.61	726	Nicolet-Yamaska	17
50035	M	Saint-Célestin	78.72	638	Nicolet-Yamaska	17
50042	M	Saint-Léonard-d'Aston	81.83	2,174	Nicolet-Yamaska	17
50050	P	Sainte-Perpétue	71.14	989	Nicolet-Yamaska	17
50057	M	Sainte-Monique	58.79	568	Nicolet-Yamaska	17
50065	M	Grand-Saint-Esprit	28.41	477	Nicolet-Yamaska	17
50072	V	Nicolet	94.50	7,809	Nicolet-Yamaska	17
50085	M	La Visitation-de-Yamaska	41.86	377	Nicolet-Yamaska	17
50090	P	Saint-Zéphirin-de-Courval	71.01	790	Nicolet-Yamaska	17
50095	P	Saint-Elphège	40.32	326	Nicolet-Yamaska	17
50100	M	Baie-du-Febvre	96.04	1,077	Nicolet-Yamaska	17
50113	M	Pierreville	79.54	2,446	Nicolet-Yamaska	17
50128	M	Saint-François-du-Lac	63.11	1,945	Nicolet-Yamaska	17
