Branding	Callsign	Frequency	Power (kW)	Location
MOR 103.1 Baguio For Life!	DZRR-FM	103.1MHz	10kW	Baguio
MOR 95.5 Laoag For Life!	DWEL-FM	95.5MHz	10kW	Laoag
MOR 94.3 Dagupan For Life!	DWEC-FM	94.3MHz	10kW	Dagupan
MOR 99.9 Puerto Princesa For Life!	DYCU-FM	99.9MHz	5kW	Puerto Princesa
MOR 99.7 Española For Life!	DYEA-FM	99.7MHz	5kW	Sofronio Española
MOR 93.5 Naga For Life!	DWAC-FM	93.5MHz	10kW	Naga
MOR 93.9 Legazpi For Life!	DWRD-FM	93.9MHz	10kW	Legazpi
MOR 91.1 Iloilo For Life!	DYMC-FM	91.1MHz	10kW	Iloilo
MOR 101.5 Bacolod For Life!	DYOO-FM	101.5MHz	10kW	Bacolod
MOR 97.1 Cebu For Life!	DYLS-FM	97.1MHz	20kW	Cebu
MOR 94.3 Tacloban For Life!	DYTC-FM	94.3MHz	10kW	Tacloban
MOR 98.7 Zamboanga For Life!	DXFH-FM	98.7MHz	10kW	Zamboanga
MOR 91.9 Cagayan De Oro For Life!	DXEC-FM	91.9MHz	10kW	Cagayan De Oro
MOR 101.1 Davao For Life!	DXRR-FM	101.1MHz	20kW	Davao
MOR 92.7 General Santos For Life!	DXBC-FM	92.7MHz	10kW	General Santos
