Year	Pick	Player name	Position	College
2002	1	David Carr	Quarterback	Fresno State
2003	3	Andre Johnson	Wide receiver	Miami (FL)
2004	10	Dunta Robinson	Cornerback	South Carolina
2004	27	Jason Babin	Defensive end	Western Michigan
2005	16	Travis Johnson	Defensive tackle	Florida State
2006	1	Mario Williams	Defensive end	North Carolina State
2007	10	Amobi Okoye	Defensive tackle	Louisville
2008	26	Duane Brown	Offensive tackle	Virginia Tech
2009	15	Brian Cushing	Outside linebacker	Southern California
2010	20	Kareem Jackson	Cornerback	Alabama
2011	11	J. J. Watt	Defensive end	Wisconsin
2012	26	Whitney Mercilus	Defensive end	Illinois
2013	27	DeAndre Hopkins	Wide receiver	Clemson
