Driver	Constructor	Laps	Time/Retired	Grid
Graham Hill	Lotus - Ford	80	2:00:32.3	1
Richard Attwood	BRM	80	+ 2.2	6
Lucien Bianchi	Cooper - BRM	76	+ 4 Laps	14
Ludovico Scarfiotti	Cooper - BRM	76	+ 4 Laps	15
Denny Hulme	McLaren - Ford	73	+ 7 Laps	10
John Surtees	Honda	16	Gearbox	4
Pedro Rodríguez	BRM	16	Accident	9
Jo Siffert	Lotus - Ford	17	Differential	3
Jean-Pierre Beltoise	Matra	11	Accident	8
Piers Courage	BRM	11	Chassis	11
Dan Gurney	Eagle - Weslake	9	Engine	16
Jochen Rindt	Brabham - Repco	8	Accident	5
Jack Brabham	Brabham - Repco	7	Suspension	12
Johnny Servoz-Gavin	Matra - Ford	3	Halfshaft	2
Bruce McLaren	McLaren - Ford	0	Accident	7
Jackie Oliver	Lotus - Ford	0	Accident	13
