Game	Date	Team	Score	High points	High assists	Location Attendance	Record
17	December 2	@ Atlanta	W 102–101 (OT)	Chris Bosh (23)	Mike James (7)	Philips Arena 12,261	2–15
18	December 3	@ New Jersey	W 95–82 (OT)	Chris Bosh (29)	José Calderón (8)	Continental Airlines Arena 14,613	3–15
19	December 6	@ Washington	L 111–119 (OT)	Chris Bosh (27)	José Calderón (13)	MCI Center 12,401	3–16
20	December 7	L.A. Lakers	L 91–102 (OT)	Chris Bosh (22)	Chris Bosh (6)	Air Canada Centre 18,821	3–17
21	December 10	@ Charlotte	W 111–103 (OT)	Chris Bosh (30)	Mike James (6)	Charlotte Bobcats Arena 15,163	4–17
22	December 14	Chicago	L 94–105 (OT)	Chris Bosh (25)	José Calderón , Mike James (6)	Air Canada Centre 16,169	4–18
23	December 16	Golden State	L 98–108 (OT)	Chris Bosh (27)	José Calderón (11)	Air Canada Centre 15,829	4–19
24	December 18	Philadelphia	L 80–107 (OT)	Chris Bosh (22)	Morris Peterson (4)	Air Canada Centre 18,918	4–20
25	December 19	@ Orlando	W 92–90 (OT)	Chris Bosh , Morris Peterson (19)	Darrick Martin (7)	TD Waterhouse Centre 12,511	5–20
26	December 21	@ Houston	W 94–81 (OT)	Mike James (19)	José Calderón , Morris Peterson (7)	Toyota Center 14,901	6–20
27	December 23	@ San Antonio	L 90–95 (OT)	Jalen Rose (19)	José Calderón (5)	SBC Center 18,797	6–21
28	December 27	@ Detroit	L 106–113 (OT)	Chris Bosh (37)	Chris Bosh (5)	The Palace of Auburn Hills 22,076	6–22
29	December 28	Atlanta	W 108–102 (OT)	Mike James (28)	Mike James (9)	Air Canada Centre 18,326	7–22
30	December 30	@ Indiana	W 99–97 (OT)	Charlie Villanueva (25)	Mike James (10)	Conseco Fieldhouse 18,345	8–22
