Rank	Player	County	Tally	Total	Opposition
1	Barney Moylan	Limerick	4-4	16	Kildare
2	Mick Bermingham	Dublin	3-4	13	Laois
2	Eddie Keher	Kilkenny	2-7	13	Galway
2	Pat White	Kildare	1-10	13	Offaly
5	Eddie Keher	Kilkenny	1-8	11	Dublin
5	Seánie Kinsella	Wexford	1-8	11	Offaly
5	Eddie Keher	Kilkenny	1-8	11	Wexford
8	Ned Buggy	Wexford	1-7	10	Kilkenny
9	Michael 'Babs' Keating	Tipperary	2-3	9	Limerick
9	Richie Bennis	Limerick	1-6	9	Tipperary
9	Barney Moylan	Offaly	0-9	9	Kildare
9	Barney Moylan	Offaly	0-9	9	Wexford
9	Richie Bennis	Limerick	0-9	9	Tipperary
