Callsign	Frequency	Band	On-air ID	Purpose
4AA	1026	AM	4MK	Commercial
4AAA	0 98.9	FM	98.9 FM	Community
4ABC	0 91.7	FM	ABC Gold Coast	National
4ABCFM	various	FM	ABC Classic FM	National
4ABCRN	various	FM	ABC Radio National	National
4ABCRR	various	FM	ABC Local Radio	National
4ACR	various	FM	National Indigenous Radio Service	Community
4AK	1242	AM	4AK	Commercial
4AM	0 558	AM	4AM	Commercial
4AMM	0 97.9	FM	Hot FM	Commercial
4AT	0 720	AM	ABC Far North Queensland	National
4BAY	100.3	FM	Bay FM	Community
4BBB	105.3	FM	B105	Commercial
4BC	1116	AM	4BC	Commercial
4BCR	0 94.7	FM	94.7 FM	Community
4BFM	0 97.3	FM	97.3 FM	Commercial
4BH	0 882	AM	4BH	Commercial
4BI	1197	AM	Switch 1197	Community
4BNE	106.9	FM	Nova	Commercial
4BRR	0 91.5	FM	Burnett River Radio	Community
4BRZ	various	FM	Breeze FM	Commercial
4BSR	101.5	FM	Beau FM	Community
4BU	1332	AM	4BU	Commercial
4BVR	0 95.9	FM	Valley FM	Community
4CAB	107.3	FM	Juice 107.3	Community
4CBL	101.1	FM	101 FM	Community
4CC	0 927	AM	Zinc	Commercial
4CCA	102.7	FM	Zinc 102.7	Commercial
4CCC	101.7	FM	Triple C	Commercial
4CCR	0 89.1	FM	Cairns FM	Community
4CEE	101.9	FM	Sea FM	Commercial
4CH	0 603	AM	ABC Western Queensland	National
4CHT	0 95.9	FM	Hot FM	Commercial
4CIM	0 98.7	FM	BBM 98.7	Community
4CLG	106.5	FM	106five	Community
4CRB	0 89.3	FM	4CRB	Community
4CRM	107.5	FM	4CRM	Community
4CSB	0 90.7	FM	Crow FM	Community
4DDB	102.7	FM	102.7 FM	Community
4DDD	0 89.9	FM	4DDD	Community
4EB	0 98.1	FM	4EB	Community
4EL	0 846	AM	4CA	Commercial
4FC	1161	AM	Radio TAB	Commercial
4FCR	107.5	FM	Fraser Coast FM	Community
4FRB	0 96.5	FM	96five	Community
4GC	0 828	AM	4GC	Commercial
4GCR	0 91.5	FM	Cooloola Christian Radio	Community
4GEM	0 95.1	FM	Gem FM	Community
4GLD	0 92.5	FM	Gold FM	Commercial
4GM	1566	AM	ABC Wide Bay	National
4GOD	0 92.9	FM	Voice FM	Community
4GR	0 864	AM	4GR	Commercial
4GY	0 558	AM	4GY	Commercial
4HI	1143	AM	4HI	Commercial
4HIT	0 94.7	FM	Hot FM	Commercial
4HOT	103.5	FM	Hot FM	Commercial
4HTB	102.9	FM	Hot Tomato	Commercial
