Name	Position	Height	Weight	Year	Home Town
Jeremy Case	Guard	6–1	170	Sophomore	McAlester, OK
Mario Chalmers	Guard	6–1	182	Freshman	Anchorage, AK
C.J. Giles	Center	6–10	235	Sophomore	Seattle, WA
Jeff Hawkins	Guard	5–11	180	Senior	Kansas City, KS
Darnell Jackson	Forward	6–8	240	Sophomore	Oklahoma City, OK
Sasha Kaun	Center	6–11	246	Sophomore	Melbourne, FL
Matt Kleinmann	Center	6–10	237	Freshman	Overland Park, KS
Christian Moody	Forward	6–8	220	Senior	Asheville, NC
Russell Robinson	Guard	6–1	196	Sophomore	New York City, NY
Brandon Rush	Guard	6–6	202	Freshman	Kansas City, MO
Rodrick Stewart	Guard	6–4	201	Sophomore	Seattle, WA
Stephen Vinson	Guard	6–2	195	Senior	Lawrence, KS
Julian Wright	Forward	6–8	218	Freshman	Chicago Heights, IL
