Driver	Team	Laps	Time/Retired	Grid	Points
Justin Wilson	RuSPORT	85	1:40:30.635	3	33
Sébastien Bourdais	Newman/Haas Racing	85	+5.319 secs	1	30
A. J. Allmendinger	Forsythe Racing	85	+9.946 secs	4	25
Oriol Servià	PKV Racing	85	+12.650 secs	5	23
Paul Tracy	Forsythe Racing	85	+16.609 secs	2	22
Will Power (R)	Team Australia	85	+27.803 secs	7	19
Andrew Ranger	Mi-Jack Conquest Racing	84	+ 1 Lap	8	17
Mario Domínguez	Dale Coyne Racing	84	+ 1 Lap	10	15
Dan Clarke (R)	CTE Racing-HVM	84	+ 1 Lap	17	14
Charles Zwolsman (R)	Mi-Jack Conquest Racing	82	+ 3 Laps	13	11
Tõnis Kasemets (R)	Rocketsports Racing	82	+ 3 Laps	18	10
Alex Tagliani	Team Australia	78	Contact	11	9
Katherine Legge (R)	PKV Racing	73	+ 12 Laps	15	8
Nelson Philippe	CTE Racing-HVM	69	Contact	6	7
Bruno Junqueira	Newman/Haas Racing	54	Gearbox	9	6
Jan Heylen (R)	Dale Coyne Racing	10	Contact	12	5
Nicky Pastorelli (R)	Rocketsports Racing	4	Contact	16	4
Cristiano da Matta	RuSPORT	0	Contact	14	3
