Constructor	Chassis	Engine	Tyre	Driver	Rounds
Ferrari	312T 312T2	Ferrari 015 3.0 F12	G	Niki Lauda	1-10, 13-16
Ferrari	312T 312T2	Ferrari 015 3.0 F12	G	Clay Regazzoni	1-10, 12-16
Ferrari	312T 312T2	Ferrari 015 3.0 F12	G	Carlos Reutemann	13
Tyrrell - Ford	007 P34	Ford Cosworth DFV 3.0 V8	G	Jody Scheckter	All
Tyrrell - Ford	007 P34	Ford Cosworth DFV 3.0 V8	G	Patrick Depailler	All
Lotus - Ford	77	Ford Cosworth DFV 3.0 V8	G	Ronnie Peterson	1
Lotus - Ford	77	Ford Cosworth DFV 3.0 V8	G	Bob Evans	2-3
Lotus - Ford	77	Ford Cosworth DFV 3.0 V8	G	Mario Andretti	4-5, 7-16
Lotus - Ford	77	Ford Cosworth DFV 3.0 V8	G	Mario Andretti	1
Lotus - Ford	77	Ford Cosworth DFV 3.0 V8	G	Gunnar Nilsson	2-16
Brabham - Alfa Romeo	BT45	Alfa Romeo 115-12 3.0 F12	G	Carlos Reutemann	1-12
Brabham - Alfa Romeo	BT45	Alfa Romeo 115-12 3.0 F12	G	Rolf Stommelen	13
Brabham - Alfa Romeo	BT45	Alfa Romeo 115-12 3.0 F12	G	Larry Perkins	14-16
Brabham - Alfa Romeo	BT45	Alfa Romeo 115-12 3.0 F12	G	Carlos Pace	All
Brabham - Alfa Romeo	BT45	Alfa Romeo 115-12 3.0 F12	G	Rolf Stommelen	10
March - Ford	761	Ford Cosworth DFV 3.0 V8	G	Vittorio Brambilla	All
March - Ford	761	Ford Cosworth DFV 3.0 V8	G	Lella Lombardi	1
March - Ford	761	Ford Cosworth DFV 3.0 V8	G	Ronnie Peterson	2-16
March - Ford	761	Ford Cosworth DFV 3.0 V8	G	Hans-Joachim Stuck	All
March - Ford	761	Ford Cosworth DFV 3.0 V8	G	Arturo Merzario	3-9
McLaren - Ford	M23 M26	Ford Cosworth DFV 3.0 V8	G	James Hunt	All
McLaren - Ford	M23 M26	Ford Cosworth DFV 3.0 V8	G	Jochen Mass	All
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	G	Divina Galica	9
BRM	P201B	BRM P200 3.0 V12	G	Ian Ashley	1
Tyrrell - Ford	007	Ford Cosworth DFV 3.0 V8	G	Ian Scheckter	2
Shadow - Ford	DN5B DN8	Ford Cosworth DFV 3.0 V8	G	Tom Pryce	All
Shadow - Ford	DN5B DN8	Ford Cosworth DFV 3.0 V8	G	Jean-Pierre Jarier	All
Surtees - Ford	TS19	Ford Cosworth DFV 3.0 V8	G	Brett Lunger	2-5, 7-11, 13-15
Surtees - Ford	TS19	Ford Cosworth DFV 3.0 V8	G	Conny Andersson	12
Surtees - Ford	TS19	Ford Cosworth DFV 3.0 V8	G	Noritake Takahara	16
Surtees - Ford	TS19	Ford Cosworth DFV 3.0 V8	G	Alan Jones	3-16
Williams - Ford	FW04 FW05	Ford Cosworth DFV 3.0 V8	G	Jacky Ickx	1-6, 8-9
Williams - Ford	FW04 FW05	Ford Cosworth DFV 3.0 V8	G	Arturo Merzario	10-16
Williams - Ford	FW04 FW05	Ford Cosworth DFV 3.0 V8	G	Renzo Zorzi	1
Williams - Ford	FW04 FW05	Ford Cosworth DFV 3.0 V8	G	Michel Leclère	2-8
Williams - Ford	FW04 FW05	Ford Cosworth DFV 3.0 V8	G	Chris Amon	14
