Team	Driver	Laps	Time	Grid
New Zealand	Jonny Reid	38	1:10'34.700	7
Netherlands	Jeroen Bleekemolen	38	+7.146	1
Switzerland	Neel Jani	38	+12.277	4
China	Cong Fu Cheng	38	+12.723	5
France	Nicolas Lapierre	38	+19.439	8
Ireland	Adam Carroll	38	+24.348	18
Brazil	Sérgio Jimenez	38	+29.625	6
Germany	Christian Vietoris	38	+37.949	9
India	Narain Karthikeyan	38	+38.385	11
Italy	Enrico Toccacelo	38	+49.406	12
Canada	James Hinchcliffe	38	+51.531	10
Czech Republic	Erik Janis	38	+57.799	17
Australia	Ian Dyk	38	+1'02.548	14
Malaysia	Alex Yoong	38	+1'03.238	22
USA	Buddy Rice	38	+1'22.790	20
South Africa	Adrian Zaugg	38	+1'23.100	2
Great Britain	Robbie Kerr	38	+1'23.733	3
Portugal	João Urbano	38	+1'24.918	16
Indonesia	Satrio Hermanto	38	+1'25.337	15
Pakistan	Adam Langley-Khan	38	+1'31.515	19
Lebanon	Khalil Beschir	37	+1 Lap	21
Mexico	Michel Jourdain Jr.	37	+1 Lap	13
