Round	Pick	Player	Position	School
1	17	Sean Farrell	Guard	Penn State
2	32 (from Chicago)	Booker Reese	Defensive End	Bethune-Cookman
3	74	Jerry Bell	Tight End	Arizona State
3	83 (from San Diego)	John Cannon	Defensive End	William and Mary
4	103 (from San Diego)	Dave Barrett	Running Back	Houston
5	128	Jeff Davis	Linebacker	Clemson
6	158	Andre Tyler	Wide Receiver	Stanford
7	185	Tom Morris	Defensive Back	Michigan State
8	212	Kelvin Atkins	Linebacker	Illinois
9	242	Bob Lane	Quarterback	Louisiana-Monroe
12	325	Michael Morton	Running Back	UNLV
