Team	Manufacturer	Car model	Engine	Driver
Kerrick	Saab	9-3	Chevrolet 6.0 V8	Dean Randle
Hercules Engineering Mack Trucks	Nissan	300ZX	Chevrolet 6.0 V8	Stephen Voight
Audi Spares	Audi	A4	Chevrolet 6.0 V8	Darren Hossack
B&M Ricciardello	Alfa Romeo	Alfetta GTV	Chevrolet 6.0 V8	Tony Ricciardello
B&V Auto Techniques	Ford	Escort Mk.II	Chevrolet 6.0 V8	Mick Monterosso
Domain Prestige Homes	Opel	Calibra	Chevrolet 6.0 V8	Daniel Tamasi
P & L Mechanical Services	Mazda	RX-7	Mazda 13B	Graeme Gilliland
Roddy Jag Service	Jaguar	XJS	Jaguar 6.0 V12	Jordan Roddy Mike Roddy
Interleasing	Saab	9-3	Chevrolet 6.0 V8	Mark Nelson
Qld. Commercial Constructions	Honda	Prelude	Chevrolet 6.0 V8	Charlie Senese
Speedy Fasteners	Opel	Calibra	Ford 2.0 V6 Turbo	Graham Smith
Marinelli's Mechanical & Performance	Ford	Anglia	Mazda 13B Turbo	Luke Marinelli
Marinelli's Mechanical & Performance	Holden	Commodore VS	Chevrolet 6.0 V8	Bob McLoughlin
Kings Fibreglass Harrop Engineering	Holden	Torana LJ	Holden 3.3 I6	Damian Johnson
RDS - Wall Racing Pty Ltd	Chevrolet	Corvette C-6	Chevrolet 6.0 V8	Des Wall
Datafin P/L	Ford	Mustang	Ford 6.0 V8	Phil Crompton
Airey Industrial	Nissan	300ZX	Chevrolet 6.0 V8	Kerry Baily
National Metal Recyclers	Chevrolet	Camaro	Chevrolet 6.0 V8	Geoff Munday
RK & T Young Plumbing	Mazda	RX-7	Mazda 20B Turbo	Trent Young
Aston Air Conditioning	Ford	Falcon EB	Ford 5.8 V8	Shane Bradford
MR Automotive	Rover	Vitesse	Chevrolet 6.0 V8	Colin Smith
Cambelltown Frames & Trusses	Jaguar	XKR	Chevrolet 6.0 V8	Daniel Jameson
Dave McGinniss	Opel	Calibra	Chevrolet 6.0 V8	Dave McGinniss
Executive Heating & Cooling	Mazda	RX-7	Mazda 20B	Luke Chambers
CSJ Engineering Steves Toy Shop	Opel	Calibra	Chevrolet 6.0 V8	Chris Jackson
Five Star Fencing	Honda	Prelude	Chevrolet 6.0 V8	Dean Camm
Quality Concreting	Mazda	RX-7	Nissan 2.0 I4 Turbo	Bobby Ervin
Austrack Motorsport	Holden	Commodore VX	Chevrolet 6.0 V8	Fred Axisa
AMG Engineering	Rover	Vitesse	Chevrolet 6.0 V8	Anthony Macready
Whiteline Transport	Chevrolet	Camaro	Chevrolet 6.0 V8	Chris Templar
