Week	Date	Opponent	Result	Attendance
1	September 8, 2002	at Houston Texans	L 19–10	69,604
2	September 15, 2002	Tennessee Titans	W 21–13	62,527
3	September 22, 2002	at Philadelphia Eagles	L 44–13	65,537
4	September 29, 2002	at St. Louis Rams	W 13–10	66,165
5	October 6, 2002	New York Giants	L 21–17	63,447
6	October 13, 2002	Carolina Panthers	W 14–13	61,773
7	October 20, 2002	at Arizona Cardinals	L 9–6	59,702
8	October 27, 2002	Seattle Seahawks	L 17–14	63,854
9	November 3, 2002	at Detroit Lions	L 9–7	61,789
10	Bye	Bye	Bye	Bye
11	November 17, 2002	at Indianapolis Colts	L 20–3	57,057
12	November 24, 2002	Jacksonville Jaguars	W 21–19	62,204
13	November 28, 2002	Washington Redskins	W 27–20	63,606
14	December 8, 2002	San Francisco 49ers	L 31–27	64,097
15	December 15, 2002	at New York Giants	L 37–7	78,698
16	December 21, 2002	Philadelphia Eagles	L 27–3	63,209
17	December 29, 2002	at Washington Redskins	L 20–14	84,142
