Pick #	Player	Position	Nationality	NHL team	College/junior/club team
1	Brian Lawton	Centre	United States	Minnesota North Stars	Mount St. Charles Academy (USHS-RI)
2	Sylvain Turgeon	Left Wing	Canada	Hartford Whalers	Hull Olympiques ( QMJHL )
3	Pat LaFontaine	Centre	United States	New York Islanders	Verdun Juniors (QMJHL)
4	Steve Yzerman	Centre	Canada	Detroit Red Wings	Peterborough Petes ( OHL )
5	Tom Barrasso	Goaltender	United States	Buffalo Sabres	Acton-Boxboro High School (USHS-MA)
6	John MacLean	Right Wing	Canada	New Jersey Devils	Oshawa Generals (OHL)
7	Russ Courtnall	Centre	Canada	Toronto Maple Leafs	Victoria Cougars ( WHL )
8	Andrew McBain	Right Wing	Canada	Winnipeg Jets	North Bay Centennials (OHL)
9	Cam Neely	Right Wing	Canada	Vancouver Canucks	Portland Winter Hawks (WHL)
10	Normand Lacombe	Right Wing	Canada	Buffalo Sabres	University of New Hampshire ( Hockey East )
11	Adam Creighton	Centre	Canada	Buffalo Sabres	Ottawa 67's (OHL)
12	Dave Gagner	Centre	Canada	New York Rangers	Brantford Alexanders (OHL)
13	Dan Quinn	Centre	Canada	Calgary Flames	Belleville Bulls (OHL)
14	Bobby Dollas	Defence	Canada	Winnipeg Jets	Laval Voisins (QMJHL)
15	Bob Errey	Left Wing	Canada	Pittsburgh Penguins	Peterborough Petes (OHL)
16	Gerald Diduck	Defence	Canada	New York Islanders	Lethbridge Broncos (WHL)
17	Alfie Turcotte	Centre	United States	Montreal Canadiens	Portland Winter Hawks (WHL)
18	Bruce Cassidy	Defence	Canada	Chicago Black Hawks	Ottawa 67's (OHL)
19	Jeff Beukeboom	Defence	Canada	Edmonton Oilers	Sault Ste. Marie Greyhounds (OHL)
20	David Jensen	Centre	United States	Hartford Whalers	Lawrence Academy (USHS-MA)
21	Nevin Markwart	Left Wing	Canada	Boston Bruins	Regina Pats (WHL)
