Year	Milan – San Remo	Tour of Flanders	Paris–Roubaix	Liège–Bastogne–Liège	Giro di Lombardia
1960	René Privat ( FRA )	Arthur De Cabooter ( BEL )	Pino Cerami ( BEL )	Albertus Geldermans ( NED )	Emile Daems ( BEL )
1961	Raymond Poulidor ( FRA )	Tom Simpson ( GBR )	Rik van Looy ( BEL )	Rik van Looy ( BEL )	Vito Taccone ( ITA )
1962	Emile Daems ( BEL )	Rik van Looy ( BEL )	Rik van Looy ( BEL )	Jef Planckaert ( BEL )	Jo de Roo ( NED )
1963	Joseph Groussard ( FRA )	Noel Foré ( BEL )	Emile Daems ( BEL )	Frans Melckenbeeck ( BEL )	Jo de Roo ( NED )
1964	Tom Simpson ( GBR )	Rudi Altig ( GER )	Peter Post ( NED )	Willy Blocklandt ( BEL )	Gianni Motta ( ITA )
1965	Arie den Hartog ( NED )	Jo De Roo ( NED )	Rik van Looy ( BEL )	Carmine Preziosi ( ITA )	Tom Simpson ( GBR )
1966	Eddy Merckx ( BEL )	Edward Sels ( BEL )	Felice Gimondi ( ITA )	Jacques Anquetil ( FRA )	Felice Gimondi ( ITA )
1967	Eddy Merckx ( BEL )	Dino Zandegù ( ITA )	Jan Janssen ( NED )	Walter Godefroot ( BEL )	Franco Bitossi ( ITA )
1968	Rudi Altig ( GER )	Walter Godefroot ( BEL )	Eddy Merckx ( BEL )	Walter Van Sweefelt ( BEL )	Herman van Springel ( BEL )
1969	Eddy Merckx ( BEL )	Eddy Merckx ( BEL )	Walter Godefroot ( BEL )	Eddy Merckx ( BEL )	Jean-Pierre Monseré ( BEL )
1970	Michele Dancelli ( ITA )	Eric Leman ( BEL )	Eddy Merckx ( BEL )	Roger De Vlaeminck ( BEL )	Franco Bitossi ( ITA )
1971	Eddy Merckx ( BEL )	Evert Dolman ( NED )	Roger Rosiers ( BEL )	Eddy Merckx ( BEL )	Eddy Merckx ( BEL )
1972	Eddy Merckx ( BEL )	Eric Leman ( BEL )	Roger De Vlaeminck ( BEL )	Eddy Merckx ( BEL )	Eddy Merckx ( BEL )
1973	Roger De Vlaeminck ( BEL )	Eric Leman ( BEL )	Eddy Merckx ( BEL )	Eddy Merckx ( BEL )	Felice Gimondi ( ITA )
1974	Felice Gimondi ( ITA )	Cees Bal ( NED )	Roger De Vlaeminck ( BEL )	Georges Pintens ( BEL )	Roger De Vlaeminck ( BEL )
1975	Eddy Merckx ( BEL )	Eddy Merckx ( BEL )	Roger De Vlaeminck ( BEL )	Eddy Merckx ( BEL )	Francesco Moser ( ITA )
1976	Eddy Merckx ( BEL )	Walter Planckaert ( BEL )	Marc Demeyer ( BEL )	Joseph Bruyère ( BEL )	Roger De Vlaeminck ( BEL )
1977	Jan Raas ( NED )	Roger De Vlaeminck ( BEL )	Roger De Vlaeminck ( BEL )	Bernard Hinault ( FRA )	Gianbattista Baronchelli ( ITA )
1978	Roger De Vlaeminck ( BEL )	Walter Godefroot ( BEL )	Francesco Moser ( ITA )	Joseph Bruyère ( BEL )	Francesco Moser ( ITA )
1979	Roger De Vlaeminck ( BEL )	Jan Raas ( NED )	Francesco Moser ( ITA )	Dietrich Thurau ( GER )	Bernard Hinault ( FRA )
1980	Pierino Gavazzi ( ITA )	Michel Pollentier ( BEL )	Francesco Moser ( ITA )	Bernard Hinault ( FRA )	Fons De Wolf ( BEL )
1981	Fons De Wolf ( BEL )	Hennie Kuiper ( NED )	Bernard Hinault ( FRA )	Josef Fuchs ( SUI )	Hennie Kuiper ( NED )
1982	Marc Gomez ( FRA )	René Martens ( BEL )	Jan Raas ( NED )	Silvano Contini ( ITA )	Giuseppe Saronni ( ITA )
