Name	Years	League a	FA Cup	League Cup	Other b	Total
Gil Merrick Category:Articles with hCards	1946–1959	485 (0)	56 (0)	0 (0)	10 (0)	551 (0)
Frank Womack Category:Articles with hCards	1908–1928	491 (0)	24 (0)	0 (0)	0 (0)	515 (0)
Joe Bradford Category:Articles with hCards	1920–1935	414 (0)	31 (0)	0 (0)	0 (0)	445 (0)
Ken Green Category:Articles with hCards	1947–1958	401 (0)	36 (0)	0 (0)	4 (0)	440 (0)
Johnny Crosbie Category:Articles with hCards	1920–1932	409 (0)	23 (0)	0 (0)	0 (0)	432 (0)
Trevor Smith Category:Articles with hCards	1953–1964	365 (0)	35 (0)	12 (0)	18 (0)	430 (0)
Malcolm Beard Category:Articles with hCards	1960–1970	349 (1)	24 (1)	25 (0)	4 (0)	402 (2)
Dan Tremelling Category:Articles with hCards	1919–1931	382 (0)	13 (0)	0 (0)	0 (0)	395 (0)
Malcolm Page Category:Articles with hCards	1965–1980	328 (8)	29 (0)	14 (0)	12 (0)	383 (8)
Harry Hibbs Category:Articles with hCards	1926–1938	358 (0)	30 (0)	0 (0)	0 (0)	388 (0)
