Goal	Date	Venue	Result	Competition
1	7 September 2003	San José	6 - 0	Friendly
2	19 November 2003	San José	6 - 0	Friendly
3	12 June 2004	Tegucigalpa	1 - 0	Friendly
4	4 September 2005	San Pedro Sula	3 - 1	1998 FIFA World Cup qualification (CONCACAF)
5	4 September 2005	Edmonton	1 - 0	1998 FIFA World Cup qualification (CONCACAF)
6	7 September 2005	Miami	1 - 0	1998 FIFA World Cup qualification (CONCACAF)
7	9 November 2005	San José	3 - 0	1998 FIFA World Cup qualification (CONCACAF)
8	11 February 2006	Panama City	1 - 1	1998 FIFA World Cup qualification (CONCACAF)
9	2 September 2006	Boston	1 - 2	2002 FIFA World Cup qualification (CONCACAF)
10	2 September 2006	San José	3 - 2	1998 FIFA World Cup qualification (CONCACAF)
11	24 March 2007	Florida	1 - 0	2003 CONCACAF Gold Cup
12	24 March 2007	Montevideo	4 - 5	Friendly
13	21 June 2008	Montevideo	4 - 5	Friendly
14	20 August 2008	San Pedro Sula	2 - 1	2001 UNCAF Nations Cup
15	3 June 2009	Port of Spain	2 - 0	World Cup qualifier
16	6 June 2009	Port of Spain	2 - 0	World Cup qualifier
17	27 June 2009	Miami	2 - 1	2002 CONCACAF Gold Cup
18	19 July 2009	Pasadena	3 - 1	2002 CONCACAF Gold Cup
19	19 July 2009	Gwangju	2 - 0	World Cup qualifier
20	3 June 2009	Suwon	2 - 5	World Cup qualifier
21	6 June 2009	San José	3 - 2	World Cup qualifier
22	27 June 2009	Changsha	2 - 2	Friendly
23	19 July 2009	Panama City	3 - 1	World Cup qualifier
24	19 July 2009	Hannover	1 - 2	2006 FIFA World Cup
