No. in series	No. in season	Title	Directed by	Written by	Original air date	Survivor count
56	3	" He That Believeth in Me "	Michael Rymer	Bradley Thompson & David Weddle	April4,2008	39698
57	4	" Six of One "	Anthony Hemingway	Michael Angeli	April11,2008	39676
58	5	" The Ties That Bind "	Michael Nankin	Michael Taylor	April18,2008	39676
59	6	" Escape Velocity "	Edward James Olmos	Jane Espenson	April25,2008	39675
60	7	" The Road Less Traveled "	Michael Rymer	Mark Verheiden	May2,2008	39676
61	8	" Faith "	Michael Nankin	Seamus Kevin Fahey	May9,2008	39675
62	9	" Guess What's Coming to Dinner? "	Wayne Rose	Michael Angeli	May16,2008	39673
63	10	" Sine Qua Non "	Rod Hardy	Michael Taylor	May27,2008	39674
64	11	" The Hub "	Paul Edwards	Jane Espenson	June6,2008	39673
65	12	" Revelations "	Michael Rymer	Bradley Thompson & David Weddle	June13,2008	39665
66	13	" Sometimes a Great Notion "	Michael Nankin	Bradley Thompson & David Weddle	January16,2009	39651
67	14	" A Disquiet Follows My Soul "	Ronald D. Moore	Ronald D. Moore	January23,2009	39644
68	15	" The Oath "	John Dahl	Mark Verheiden	January30,2009	39643
69	16	" Blood on the Scales "	Wayne Rose	Michael Angeli	February6,2009	39603
70	17	" No Exit "	Gwyneth Horder-Payton	Ryan Mottesheard	February13,2009	39556
71	18	" Deadlock "	Robert Young	Jane Espenson	February20,2009	39556
72	19	" Someone to Watch Over Me "	Michael Nankin	Bradley Thompson & David Weddle	February27,2009	39556
73	20	" Islanded in a Stream of Stars "	Edward James Olmos	Michael Taylor	March6,2009	39521
74	21	" Daybreak (Part 1) "	Michael Rymer	Ronald D. Moore	March13,2009	39516
