Week	Date	Opponent	Result	Attendance
1	September 21, 1969	at New Orleans Saints	W 26-20	73,147
2	September 28, 1969	at Cleveland Browns	L 27-23	82,581
3	October 5, 1969	at San Francisco 49ers	T 17-17	35,642
4	October 12, 1969	St. Louis Cardinals	W 33-17	50,481
5	October 19, 1969	New York Giants	W 20-14	50,352
6	October 26, 1969	at Pittsburgh Steelers	W 14-7	46,557
7	November 2, 1969	at Baltimore Colts	L 41-17	60,238
8	November 9, 1969	Philadelphia Eagles	T 28-28	50,502
9	November 16, 1969	Dallas Cowboys	L 41-28	50,474
10	November 23, 1969	Atlanta Falcons	W 27-20	50,345
11	November 30, 1969	Los Angeles Rams	L 24-13	50,352
12	December 7, 1969	at Philadelphia Eagles	W 34-29	60,658
13	December 14, 1969	New Orleans Saints	W 17-14	50,354
14	December 21, 1969	at Dallas Cowboys	L 20-10	56,924
