Name	Nationality	Position	Tenure Began	Term Ending
Peter Tomka	Slovakia	President (2012–2015)	2003	2021
Bernardo Sepúlveda Amor	Mexico	Vice-President (2012–2015)	2006	2015
Hisashi Owada	Japan	Member	2003	2021
Ronny Abraham	France	Member	2005	2018
Sir Kenneth Keith	New Zealand	Member	2006	2015
Mohamed Bennouna	Morocco	Member	2006	2015
Leonid Skotnikov	Russia	Member	2006	2015
Antônio Augusto Cançado Trindade	Brazil	Member	2009	2018
Abdulqawi Ahmed Yusuf	Somalia	Member	2009	2018
Sir Christopher Greenwood	United Kingdom	Member	2009	2018
Xue Hanqin	People's Republic of China	Member	2010	2021
Joan E. Donoghue	United States	Member	2010	2015
Giorgio Gaja	Italy	Member	2012	2021
Julia Sebutinde	Uganda	Member	2012	2021
Dalveer Bhandari	India	Member	2012	2018
