Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 21	MasterCard Championship	Hawaii	1400000	Larry Nelson (12)	197 (-19)	240000
Feb 4	Royal Caribbean Classic	Florida	1400000	Larry Nelson (13)	29 ( Stableford )	210000
Feb 11	ACE Group Classic	Florida	1400000	Gil Morgan (19)	204 (-12)	210000
Feb 18	Verizon Classic	Florida	1400000	Bob Gilder (1)	205 (-8)	210000
Feb 25	Mexico Senior Classic	Mexico	1500000	Mike McCullough (1)	204 (-12)	225000
Mar 4	Toshiba Senior Classic	California	1400000	José Maria Cañizares (1)	202 (-11)	210000
Mar 11	SBC Senior Classic	California	1400000	Jim Colbert (20)	204 (-12)	210000
Mar 18	Siebel Classic in Silicon Valley	California	1400000	Hale Irwin (30)	206 (-10)	210000
Mar 25	Emerald Coast Classic	Florida	1400000	Mike McCullough (2)	200 (-10)	210000
Apr 15	The Countrywide Tradition	Arizona	1700000	Doug Tewell (4)	265 (-23)	255000
Apr 22	Las Vegas Senior Classic	Nevada	1400000	Bruce Fleisher (12)	208 (-8)	210000
Apr 29	Bruno's Memorial Classic	Alabama	1400000	Hale Irwin (31)	195 (-21)	210000
May 6	The Home Depot Invitational	North Carolina	1300000	Bruce Fleisher (13)	201 (-15)	195000
May 13	Enterprise Rent-A-Car Match Play Championship	Missouri	2000000	Leonard Thompson (3)	1 up	300000
May 20	TD Waterhouse Championship	Missouri	1500000	Ed Dougherty (2)	194 (-22)	225000
May 27	Senior PGA Championship	New Jersey	2000000	Tom Watson (3)	274 (-14)	360000
Jun 3	BellSouth Senior Classic at Opryland	Tennessee	1600000	Sammy Rachels (1)	199 (-17)	240000
Jun 10	NFL Golf Classic	New Jersey	1200000	John Schroeder (1)	207 (-9)	180000
Jun 17	The Instinet Classic	New Jersey	1500000	Gil Morgan (20)	201 (-15)	225000
Jun 24	FleetBoston Classic	Massachusetts	1400000	Larry Nelson (14)	201 (-15)	210000
Jul 1	U.S. Senior Open	Massachusetts	2400000	Bruce Fleisher (14)	280 (E)	430000
Jul 8	Farmers Charity Classic	Michigan	1400000	Larry Nelson (15)	202 (-14)	210000
Jul 15	Ford Senior Players Championship	Michigan	2400000	Allen Doyle (6)	273 (-15)	375000
Jul 22	SBC Senior Open	Illinois	1400000	Dana Quigley (5)	200 (-16)	210000
Jul 29	State Farm Senior Classic	Maryland	1450000	Allen Doyle (7)	205 (-11)	217500
Aug 5	Lightpath Long Island Classic	New York	1700000	Bobby Wadkins (1)	202 (-14)	255000
Aug 12	3M Championship	Minnesota	1750000	Bruce Lietzke (1)	207 (-9)	262500
Aug 19	Novell Utah Showdown	Utah	1500000	Steve Veriato (1)	204 (-12)	225000
Aug 26	AT&T Canada Senior Open Championship	Canada	1600000	Walter Hall (1)	199 (-15)	240000
Sep 2	Kroger Senior Classic	Ohio	1500000	Jim Thorpe (3)	130 (-10)	220000
Sep 9	Allianz Championship	Iowa	1750000	Jim Thorpe (4)	199 (-14)	262500
Sep 23	SAS Championship	North Carolina	1600000	Bruce Lietzke (2)	201 (-15)	240000
Sep 30	Gold Rush Classic	California	1300000	Tom Kite (3)	194 (-22)	195000
Oct 7	Turtle Bay Championship	Hawaii	1500000	Hale Irwin (32)	205 (-11)	225000
Oct 14	The Transamerica	California	1300000	Sammy Rachels (2)	202 (-14)	195000
Oct 21	SBC Championship	Texas	1400000	Larry Nelson (16)	199 (-17)	210000
