Kanji	Name	Builder	Laid down	Launched	Completed
綾波	Ayanami DD-45	Fujinagata Shipyards, Japan	20 January 1928	5 October 1929	30 April 1930
敷波	Shikinami DD-46	Maizuru Naval Arsenal, Japan	6 July 1928	22 June 1929	24 December 1929
朝霧	Asagiri DD-47	Sasebo Naval Arsenal, Japan	12 December 1928	18 November 1929	30 June 1930
夕霧	Yūgiri DD-48	Maizuru Naval Arsenal, Japan	1 April 1929	12 May 1930	3 December 1930
天霧	Amagiri DD-49	Ishikawajima Shipyards , Japan	28 November 1928	27 February 1930	10 November 1930
狭霧	Sagiri DD-50	Uraga Dock Company, Japan	28 March 1929	23 December 1929	30 January 1931
朧	Oboro DD-51	Sasebo Naval Arsenal, Japan	29 November 1929	8 November 1930	31 October 1931
曙	Akebono DD-52	Sasebo Naval Arsenal, Japan	25 October 1929	7 November 1930	31 July 1931
漣	Sazanami DD-53	Maizuru Naval Arsenal, Japan	21 February 1930	6 June 1931	19 May 1932
潮	Ushio DD-54	Uraga Dock Company, Japan	24 December 1929	17 November 1930	14 November 1931
