Place	Player	Country	Score	To par	Money ( $ )
1	Tiger Woods	United States	70-66-65-69=270	−18	486,000
2	Tom Kite	United States	77-69-66-70=282	−6	291,600
3	Tommy Tolles	United States	72-72-72-67=283	−5	183,600
4	Tom Watson	United States	75-68-69-72=284	−4	129,600
T5	Costantino Rocca	Italy	71-69-70-75=285	−3	102,600
T5	Paul Stankowski	United States	68-74-69-74=285	−3	102,600
T7	Fred Couples	United States	72-69-73-72=286	−2	78,570
T7	Bernhard Langer	Germany	72-72-74-68=286	−2	78,570
T7	Justin Leonard	United States	76-69-71-70=286	−2	78,570
T7	Davis Love III	United States	72-71-72-71=286	−2	78,570
T7	Jeff Sluman	United States	74-67-72-73=286	−2	78,570
