Week	Date	Opponent	Result	Attendance
1	September 12, 2004	at Philadelphia Eagles	L 31–17	67,532
2	September 19, 2004	Washington Redskins	W 20–14	78,767
3	September 26, 2004	Cleveland Browns	W 27–10	78,521
4	October 3, 2004	at Green Bay Packers	W 14–7	70,623
5	October 10, 2004	at Dallas Cowboys	W 26–10	64,018
6	Bye	Bye	Bye	Bye
7	October 24, 2004	Detroit Lions	L 28–13	78,841
8	October 31, 2004	at Minnesota Vikings	W 34–13	64,012
9	November 7, 2004	Chicago Bears	L 28–21	78,786
10	November 14, 2004	at Arizona Cardinals	L 17–14	42,297
11	November 21, 2004	Atlanta Falcons	L 14–10	78,793
12	November 28, 2004	Philadelphia Eagles	L 27–6	78,830
13	December 5, 2004	at Washington Redskins	L 31–7	87,872
14	December 12, 2004	at Baltimore Ravens	L 37–14	69,856
15	December 18, 2004	Pittsburgh Steelers	L 33–30	78,836
16	December 26, 2004	at Cincinnati Bengals	L 23–22	64,606
17	January 2, 2005	Dallas Cowboys	W 28–24	78,500
