Year	Country	Team	Individual	Location
1992	United States	Fred Couples & Davis Love III	Brett Ogle	Madrid, Spain
1991	Sweden	Anders Forsbrand & Per-Ulrik Johansson	Ian Woosnam	Rome, Italy
1990	Germany	Torsten Giedeon & Bernhard Langer	Payne Stewart	Orlando, Florida , USA
1989	Australia	Peter Fowler & Wayne Grady	Peter Fowler	Marbella, Spain
1988	United States	Ben Crenshaw & Mark McCumber	Ben Crenshaw	Melbourne , Australia
1987	Wales	David Llewellyn & Ian Woosnam	Ian Woosnam	Maui, Hawaii , USA
1986	No tournament	No tournament	No tournament	No tournament
1985	Canada	Dave Barr & Dan Halldorson	Howard Clark	La Quinta, California , USA
1984	Spain	José Maria Cañizares & José Rivero	José Maria Cañizares	Rome, Italy
1983	United States	Rex Caldwell & John Cook	Dave Barr	Jakarta, Indonesia
1982	Spain	José Maria Cañizares & Manuel Piñero	Manuel Piñero	Acapulco, Mexico
1981	No tournament	No tournament	No tournament	No tournament
1980	Canada	Dan Halldorson & Jim Nelford	Sandy Lyle	Bogotá , Colombia
1979	United States	Hale Irwin & John Mahaffey	Hale Irwin	Athens , Greece
1978	United States	John Mahaffey & Andy North	John Mahaffey	Hanalei, Hawaii , USA
1977	Spain	Seve Ballesteros & Antonio Garrido	Gary Player	Manila, Philippines
1976	Spain	Seve Ballesteros & Manuel Piñero	Ernesto Perez Acosta	Palm Springs, California , USA
1975	United States	Lou Graham & Johnny Miller	Johnny Miller	Bangkok, Thailand
1974	South Africa	Bobby Cole & Dale Hayes	Bobby Cole	Caracas , Venezuela
1973	United States	Johnny Miller & Jack Nicklaus	Johnny Miller	Marbella, Spain
1972	Taiwan	Hsieh Min-Nan & Lu Liang-Huan	Hsieh Min-Nan	Melbourne, Australia
1971	United States	Jack Nicklaus & Lee Trevino	Jack Nicklaus	Palm Beach, Florida , USA
1970	Australia	Bruce Devlin & David Graham	Roberto De Vicenzo	Buenos Aires , Argentina
1969	United States	Orville Moody & Lee Trevino	Lee Trevino	Singapore
1968	Canada	Al Balding & George Knudson	Al Balding	Rome , Italy
1967	United States	Jack Nicklaus & Arnold Palmer	Arnold Palmer	Mexico City , Mexico
