Nat.	Name	Moving to	Type	Transfer window	Transfer fee	Source
GRE	Machlas	Retired	Retirement	Summer	—	contra.gr
CYP	Makrides	Metalurh Donetsk	End of contract	Summer	Free	kerkida.net
SER	Čorović	AEL Limassol	Loan return	Summer	—	—
CYP	Louka	AEL Limassol	End of contract	Summer	Free	kerkida.net
GRE	Kapsis	Levadiakos	End of contract	Summer	Free	—
CYP	Daskalakis	AEK Larnaca	End of contract	Summer	Free	apoel.net
BRA	Zé Carlos	Trofense	Contract termination	Summer	Free	apoelfc.com.cy
CYP	Vourkou	Doxa Katokopia	Loan	Summer	Free	—
CYP	Panayiotou	Digenis Morphou	Loan	Summer	Free	—
MKD	Nikolovski	AEP Paphos	Mutual consent	Winter	Free	—
CYP	Papathanasiou	Ermis Aradippou	Loan	Winter	Free	—
POR	Paulo Costa	Anorthosis Famagusta	Mutual consent Loan return	Winter	Free	apoelfc.com.cy
