Year	Date	Television	Designated Visitors	Designated Home	Stadium	City
2007	October 28	Fox	New York Giants	Miami Dolphins	Wembley Stadium	London
2008	October 26	CBS	San Diego Chargers	New Orleans Saints	Wembley Stadium	London
2009	October 25	CBS	New England Patriots	Tampa Bay Buccaneers	Wembley Stadium	London
2010	October 31	CBS	Denver Broncos	San Francisco 49ers	Wembley Stadium	London
2011	October 23	FOX	Chicago Bears	Tampa Bay Buccaneers	Wembley Stadium	London
2012	October 28	CBS	New England Patriots	St. Louis Rams	Wembley Stadium	London
2013	September 29	CBS	Pittsburgh Steelers	Minnesota Vikings	Wembley Stadium	London
2013	October 27	FOX	San Francisco 49ers	Jacksonville Jaguars	Wembley Stadium	London
2014	TBA	TBA	Detroit Lions	Atlanta Falcons	Wembley Stadium	London
2014	TBA	TBA	Dallas Cowboys	Jacksonville Jaguars	Wembley Stadium	London
2014	TBA	TBA	Miami Dolphins	Oakland Raiders	Wembley Stadium	London
2015	TBA	TBA	TBA	Jacksonville Jaguars	Wembley Stadium	London
2016	TBA	TBA	TBA	Jacksonville Jaguars	Wembley Stadium	London
