Game	November	Opponent	Score	Record	Points
14	3	@ Mighty Ducks of Anaheim	3–3 OT	6–5–2–1	15
15	5	@ San Jose Sharks	3–1	7–5–2–1	17
16	6	@ Los Angeles Kings	5–3	8–5–2–1	19
17	9	@ New Jersey Devils	1–2	8–6–2–1	19
18	11	Carolina Hurricanes	4–1	9–6–2–1	21
19	13	San Jose Sharks	3–2	10–6–2–1	23
20	18	Dallas Stars	1–1 OT	10–6–3–1	24
21	20	Tampa Bay Lightning	4–1	11–6–3–1	26
22	22	@ Tampa Bay Lightning	1–4	11–7–3–1	26
23	24	@ Florida Panthers	6–1	12–7–3–1	28
24	26	Toronto Maple Leafs	3–2 OT	13–7–3–1	30
25	28	@ Ottawa Senators	3–3 OT	13–7–4–1	31
