Name	Family name	Receptor	Coreceptor	Property	Chromosomal location
IL-1α	IL-1F1	IL-1RI	IL-1RacP	Proinflammatory	2q14
IL-1β	IL-1F2	IL-1RI	IL-1RacP	Proinflammatory	2q14
IL-1Ra	IL-1F3	IL-1RI	NA	Antagonist for IL-1α, IL-1β	2q14.2
IL-18	IL-1F4	IL-18Rα	IL-18Rβ	Proinflammatory	11q22.2-q22.3
IL-36Ra	IL-1F5	IL-1Rrp2	NA	Antagonist for IL-36α, IL-36β, IL-36γ	2q14
IL-36α	IL-1F6	IL-1Rrp2	IL-1RAcP	Proinflammatory	2q12 - q14.1
IL-37	IL-1F7	Unknown	Unknown	Anti-inflammatory	2q12 – q14.1
IL-36β	IL-1F8	IL-1Rrp2	IL-1RAcP	Proinflammatory	2q14
IL-36γ	IL1-F9	IL-1Rrp2	IL-1RAcP	Proinflammatory	2q12 – q21
IL-38	IL-1F10	Unknown	Unknown	Unknown	2q13
