No. in series	No. in season	Title	Directedby	Writtenby	Originalairdate	Production code	U.S.viewers (million)
14	1	"Albification"	Guy Ferland	Kurt Sutter	September8,2009	2WAB01	4.29
15	2	"Small Tears"	Stephen Kay	Jack LoGiudice	September15,2009	2WAB02	N/A
16	3	"Fix"	Gwyneth Horder-Payton	Dave Erickson	September22,2009	2WAB03	3.49
17	4	"Eureka"	Guy Ferland	Kurt Sutter & Brett Conrad	September29,2009	2WAB04	3.76
18	5	"Smite"	Terrence O'Hara	Chris Collins	October6,2009	2WAB05	N/A
19	6	"Falx Cerebri"	Billy Gierhart	Regina Corrado	October13,2009	2WAB06	N/A
20	7	"Gilead"	Gwyneth Horder-Payton	Kurt Sutter & Chris Collins	October20,2009	2WAB07	3.70
21	8	"Potlatch"	Paul Maibaum	Kurt Sutter & Misha Green	October27,2009	2WAB08	3.39
22	9	"Fa Guan"	Stephen Kay	Brett Conrad & Liz Sagal	November3,2009	2WAB09	3.52
23	10	"Balm"	Paris Barclay	Dave Erickson & Stevie Long	November10,2009	2WAB10	3.38
25	12	"The Culling"	Gwyneth Horder-Payton	Kurt Sutter & Dave Erickson	November24,2009	2WAB12	N/A
