Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Fleetwood Town	34	8	2	73	24	+49	56
2	Eastwood Hanley	34	6	7	69	35	+34	48
3	Irlam Town	34	8	7	67	41	+26	46
4	Warrington Town	34	7	9	65	45	+20	43
5	Droylsden	34	5	10	59	42	+17	43
6	Colne Dynamoes	34	9	9	55	37	+18	41
7	Ellesmere Port & Neston	34	10	12	49	38	+11	34
8	Chadderton	34	6	14	56	46	+10	34
9	Atherton Laburnum Rovers	34	11	12	37	41	−4	33
10	Wren Rovers	34	10	13	45	47	−2	33
11	Skelmersdale United	34	6	15	60	63	−3	32
12	Ford Motors	34	9	16	38	53	−15	27
13	Prescot BI	34	9	16	50	66	−16	27
14	Lytham	34	3	18	56	81	−25	27 2
15	Rossendale United	34	6	18	53	84	−31	26
16	Great Harwood Town	34	12	17	36	60	−24	22
17	Salford	34	11	18	24	60	−36	21
18	Nantwich Town	34	2	24	44	73	−29	18
