Year	Place	Gold	Silver	Bronze
1966	Wiesbaden	Vladimir Vesselov ( URS )	Jogan Nikitin ( URS )	John Kingeter ( USA )
1967	Pistoia	Martin Nordfors ( SWE )	Vladimir Vesselov ( URS )	Stig Johansson ( SWE )
1969	Sandviken	Martin Nordfors ( SWE )	Valeri Postoianov ( URS )	John Kingeter ( USA )
1970	Phoenix	Goete Gaard ( SWE )	Valeri Postoianov ( URS )	Martin Nordfors ( SWE )
1973	Melbourne	Alexander Kediarov ( URS )	Valeri Postoianov ( URS )	Helmut Bellingrodt ( COL )
1974	Berne	Helmut Bellingrodt ( COL )	Valeri Postoianov ( URS )	Alexander Gazov ( URS )
1975	Munich	Valeri Postoianov ( URS )	Helmut Bellingrodt ( COL )	Giovanni Mezzani ( ITA )
1978	Seoul	Juha Rannikko ( FIN )	John Mckinley Gough ( GBR )	Carlos Rene Silva Monterroso ( GUA )
1979	Linz	Tibor Bodnar ( HUN )	Andras Doleschall ( HUN )	Juha Rannikko ( FIN )
1981	Mala	Thomas Pfeffer ( GDR )	Aleksei Rudnizkiy ( URS )	Tibor Bodnar ( HUN )
1982	Caracas	Yuri Kadenatsy ( URS )	Jerzy Greszkiewicz ( POL )	Nikolai Dedov ( URS )
1983	Edmonton	Igor Sokolov ( URS )	Tibor Bodnar ( HUN )	Andras Doleschall ( HUN )
1986	Suhl	Sergei Luzov ( URS )	Jean Luc Tricoire ( FRA )	Andras Doleschall ( HUN )
1990	Moscow	Alexei Poslov ( URS )	Manfred Kurzer ( GDR )	Attila Solti ( HUN )
1994	Milan	Quingquan Shu ( CHN )	Lubos Racansky ( CZE )	Gennadi Avramenko ( UKR )
2002	Lahti	Maxim Stepanov ( RUS )	Lubos Racansky ( CZE )	Jozsef Sike ( HUN )
2006	Zagreb	Lukasz Czapla ( POL )	Miroslav Janus ( CZE )	Peter Pelach ( SVK )
2008	Plzeň	Krister Holmberg ( FIN )	Maxim Stepanov ( RUS )	Miroslav Janus ( CZE )
2008	Heinola	Maxim Stepanov ( RUS )	Krister Holmberg ( FIN )	Peter Pelach ( SVK )
