Nationality	Metric	Imperial	Name	Lifespan
United States	2.72m	8ft 11in	Robert Wadlow	1918–1940
United States	2.68m	8ft 9½in	John Rogan	1868–1905
United States	2.63m	8ft 7½ in	John F. Carroll	1932–1969
Ukraine	2.57m	8ft 5.5 in	Leonid Stadnyk	1971–
Finland	2.51m	8ft 3 in	Väinö Myllyrinne	1909–1963
Canada	2.51m	8ft 3 in	Edouard Beaupré	1881-1904
Turkey	2.51m	8ft 3 in	Sultan Kösen	1982–
United States	2.49m	8ft 2 in	Bernard Coyne	1897–1921
United States	2.49m	8ft 2 in	Don Koehler	1925–1981
India	2.49m	8ft 3 in	Vikas Uppal	1986–2007
Ireland	2.46m	8ft 1 in	Patrick Cotter O'Brien	1760–1806
Morocco	2.46m	8ft 1 in	Brahim Takioullah	1982-
Iran	2.46m	8ft 1 in	Morteza Mehrzad	1987-
Germany	2.46m	8ft 1 in	Julius Koch	1872–1902
Mozambique	2.46m	8ft 1 in	Gabriel Estêvão Monjane	1944–1990
Libya	2.45m	8ft ½ in	Suleiman Ali Nashnush	1943–1991
France	2.45m	8ft ½ in	Jean-Joseph Brice	1835–?
Germany	2.44m	8ft 0 in	Anton de Franckenpoint (Langer Anton)	Unknown
People's Republic of China	2.42m	7ft 11¼ in	Zhang Juncai	1966–
Indonesia	2.42m	7ft 11¼ in	Suparwono	1985–2012
Puerto Rico	2.41m	7ft 11 in	Felipe Birriel	1916–1994
India	2.41m	7ft 10 in	Asadulla Khan	1988–
Soviet Union	2.41m	7ft 10 in	Alexander Sizonenko	1959–2012
Belarus	2.39m	7ft 10 in	Feodor Machnow	1878–1912
Austria-Hungary	2.38m	7ft 10 in	Grgo Kusić	1892–1918
Pakistan	2.38m	7ft 10 in	Naseer Soomro	1975–
Mongolia	2.36m	7ft 9 in	Öndör Gongor	1880/85 – 1925/30
United States	2.36m	7ft 9in	Louis Moilanen	1885–1913
United Kingdom	2.36m	7ft 9 in	Angus MacAskill	1825–1863
United Kingdom	2.36m	7ft 9 in	Frederick Kempster	1889–1918
People's Republic of China	2.36m	7ft 9 in	Sun Ming-Ming	1983–
People's Republic of China	2.36m	7ft 9in	Bao Xishun	1951–
Germany	2.36m	7ft 9 in	Walter Straub	1925–1986
Algeria	2.36m	7ft 9 in	Rachid Bara	1974-2009
Tunisia	2.35m	7ft 8½ in	Radhouane Charbib	1968–
United States	2.35m	7ft 8 in	Brenden Adams	1995–
United States/ Ukraine	2.35m	7ft 8⅓ in	Igor Vovkovinskiy	1982–
North Korea	2.35m	7ft 8½ in	Ri Myung Hun	1967–
India	2.34m	7ft 8 in	Polipaka Gattaiah	1975–
United States	2.34m	7ft 8 in	George Bell	1957–
Fiji	2.34m	7ft 8 in	Kaliova Seleiwau	1981–
Austria	2.34m	7ft 8 in	Adam Rainer	1899–1950
Pakistan	2.34m	7ft 8 in	Alam Channa	1953–1998
Iceland	2.34m	7ft 8 in	Jóhann K. Pétursson	1913–1984
Somalia	2.33m	7ft 7.4 in	Hussain Bisad	1975–
United Kingdom}	2.32m	7ft 7½ in	Neil Fingleton	1980–
United Kingdom	2.31m	7ft 7 in	Paul Sturgess	1987-
United States	2.31m	7ft 7 in	Kenny George	1987–
Brazil	2.31m	7ft 7 in	Joélisson Fernandes da Silva	1991–
Argentina	2.31m	7ft 7 in	Jorge González	1966–2010
Ireland	2.31m	7ft 7 in	Charles Byrne	1761–1783
United States	2.31m	7ft 7 in	Max Palmer	1927–1984
Romania	2.31m	7ft 7 in	Gheorghe Mureşan	1971–
Sudan	2.31m	7ft 7 in	Manute Bol	1962–2010
Belgium	2.30m	7ft 6.75 in	Alain Delaunois	1971–
Azerbaijan	2.30m	7ft 7 in	Aleksandar Rindin	1985–
Montenegro	2.30m	7ft 6.5 in	Slavko Vraneš	1983–
Viet Nam	2.29m	7ft 6.25 in	Trần Thành Phố	1947–2010.
United Kingdom	2.29m	7ft 6¼ in	Christopher Greener	1943-
Algeria	2.29m	7ft 6⅕ in	Saad Kaiche	1985–
Senegal	2.29m	7ft 6.25 in	Malik Sidibe	1985–
Russia	2.29m	7ft 6 in	Sergey Ilin	1988–
People's Republic of China	2.29m	7ft 6 in	Yao Ming	1980–
United States / Germany	2.29m	7ft 6 in	Shawn Bradley	1972–
Senegal	2.29m	7ft 6 in	Moussa Seck	1986–
United States	2.29m	7ft 6 in	Matthew McGrory	1973–2005
Colombia	2.28m	7ft 5⅔ in	Asdrúbal Herrera Mora	1986–
Slovakia	2.28m	7ft 5⅔ in	Martin Miklosik	1986–
Japan	2.28m	7ft 5⅔ in	Yasutaka Okayama	1954–
Peru	2.28m	7ft 5⅔ in	Margarito Machacuay	1965–
