District	Incumbent	Party	First elected	Result	Candidates
Virginia 1	John G. Jackson	Democratic-Republican	1803 1813	Re-elected	John G. Jackson (DR) 94.7% Others 5.3%
Virginia 2	Francis White	Federalist	1813	Lost re-election Federalist hold	Magnus Tate (F) 63.4% Francis White (DR) 36.6%
Virginia 5	James Breckinridge	Federalist	1809	Re-elected	James Breckinridge (F) 51.5% John Floyd (DR) 48.5%
Virginia 6	Daniel Sheffey	Federalist	1809	Re-elected	Daniel Sheffey (F)
Virginia 7	Hugh Caperton	Federalist	1813	Retired Democratic-Republican gain	Ballard Smith (DR) John Matthews (F)
Virginia 10	Aylett Hawes	Democratic-Republican	1811	Re-elected	Aylett Hawes (DR) 59.4% John Scott (F) 40.6%
Virginia 11	Philip P. Barbour	Democratic-Republican	1814 (special)	Re-elected	Philip P. Barbour (DR) John Mercer (DR)
Virginia 13	Thomas M. Bayly	Federalist	1811	Retired Democratic-Republican gain	Burwell Bassett (DR) 52.6% John Eyre (F)
Virginia 14	William A. Burwell	Democratic-Republican	1806 (special)	Re-elected	William A. Burwell (DR)
Virginia 16	John W. Eppes	Democratic-Republican	1803 1813	Lost re-election Democratic-Republican hold	John Randolph (DR) 51.6% John W. Eppes (DR) 48.4%
Virginia 17	James Pleasants	Democratic-Republican	1811	Re-elected	James Pleasants (DR)
Virginia 19	Peterson Goodwyn	Democratic-Republican	1803	Re-elected	Peterson Goodwyn (DR)
Virginia 20	James Johnson	Democratic-Republican	1813	Re-elected	James Johnson (DR) 52.2% Edwin Gray (F) 47.8%
Virginia 21	Thomas Newton, Jr.	Democratic-Republican	1797	Re-elected	Thomas Newton, Jr. (DR)
Virginia 22	Hugh Nelson	Democratic-Republican	1811	Re-elected	Hugh Nelson (DR)
