Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	20–6 (1)	Rafael dos Anjos	Decision (unanimous)	UFC Fight Night: Condit vs. Kampmann 2	3	5:00	Indianapolis, Indiana , United States
Win	20–5 (1)	K.J. Noons	Decision (unanimous)	UFC 160	3	5:00	Las Vegas, Nevada , United States
Loss	19–5 (1)	Anthony Pettis	TKO (livershot)	UFC on Fox: Johnson vs. Dodson	1	2:35	Chicago, Illinois , United States
Win	19–4 (1)	Melvin Guillard	KO (head kick & punch)	UFC 150	1	1:16	Denver, Colorado , United States
Win	18–4 (1)	Jeremy Stephens	Decision (unanimous)	UFC on Fuel TV: Korean Zombie vs. Poirier	3	5:00	Fairfax, Virginia , United States
Loss	17–4 (1)	Nate Diaz	Decision (unanimous)	UFC 141	3	5:00	Las Vegas, Nevada , United States
Win	17–3 (1)	Dennis Siver	Submission (rear naked choke)	UFC 137	1	2:22	Las Vegas, Nevada , United States
Win	16–3 (1)	Charles Oliveira	TKO (punches)	UFC Live: Hardy vs. Lytle	1	3:01	Milwaukee, Wisconsin , United States
Win	15–3 (1)	Vagner Rocha	Decision (unanimous)	UFC 131	3	5:00	Vancouver, British Columbia , Canada
Win	14–3 (1)	Paul Kelly	Submission (rear-naked choke)	UFC 126	2	3:48	Las Vegas, Nevada , United States
Win	13–3 (1)	Chris Horodecki	Submission (triangle choke)	WEC 53	2	2:43	Glendale, Arizona , United States
Win	12–3 (1)	Jamie Varner	Decision (unanimous)	WEC 51	3	5:00	Broomfield, Colorado , United States
Loss	11–3 (1)	Benson Henderson	Submission (guillotine choke)	WEC 48	1	1:57	Sacramento, California , United States
Win	11–2 (1)	Ed Ratcliff	Submission (rear-naked choke)	WEC 45	3	3:47	Las Vegas, Nevada , United States
Loss	10–2 (1)	Benson Henderson	Decision (unanimous)	WEC 43	5	5:00	San Antonio, Texas , United States
Win	10–1 (1)	James Krause	Submission (rear-naked choke)	WEC 41	1	4:38	Sacramento, California , United States
Loss	9–1 (1)	Jamie Varner	Technical Decision (split)	WEC 38	5	3:10	San Diego, California , United States
Win	9–0 (1)	Rob McCullough	Decision (unanimous)	WEC 36	3	5:00	Hollywood, Florida , United States
Win	8–0 (1)	Danny Castillo	Submission (armbar)	WEC 34	1	1:30	Sacramento, California , United States
NC	7–0 (1)	Kenneth Alexander	NC (overturned)	WEC 30	1	0:56	Las Vegas, Nevada , United States
Win	7–0	Yasunori Kanehara	Submission (triangle choke)	GCM: Cage Force 3	2	2:46	Tokyo , Japan
Win	6–0	Anthony Njokuani	Submission (triangle choke)	ROF 29: Aftershock	1	4:30	Broomfield, Colorado , United States
Win	5–0	Ryan Roberts	Submission (armbar)	ROF 28: Evolution	1	1:49	Broomfield, Colorado , United States
Win	4–0	Jesse Brock	Submission (triangle choke)	ROF 26: Relentless	1	1:35	Castle Rock, Colorado , United States
Win	3–0	Craig Tennant	Submission (armbar)	ROF 24: Integrity	1	1:26	Castle Rock, Colorado , United States
Win	2–0	Cruz Chacon	Submission (triangle choke)	ACF: Genesis	2	2:25	Denver, Colorado , United States
Win	1–0	Nate Mohr	Submission (triangle choke)	ROF 21: Full Blast	1	1:42	Castle Rock, Colorado , United States
