Number One(s)	Artist(s)	Song(s) — Weeks	Issue Years	Whole Weeks
3	Rihanna	" We Found Love " — 6	2011 — 2012	11
3	Rihanna	" Where Have You Been " — 1	2012	11
3	Rihanna	" Diamonds " — 4	2012	11
3	One Direction	" Save You Tonight " — 2	2012	4
3	One Direction	" Tell Me A Lie " — 1	2012	4
3	One Direction	" Another World " — 1	2012	4
2	Madonna	" Give Me All Your Luving " — 1	2012	2
2	Madonna	" Girl Gone Wild " — 1	2012	2
2	Taylor Swift	" We Are Never Ever Getting Back Together " — 14	2012	23
2	Taylor Swift	" I Knew You Were Trouble. " — 9	2012 — 2013	23
2	Katy Perry	" Part Of Me " — 2	2012	5
2	Katy Perry	" Roar " — 3	2013	5
2	Miley Cyrus	" We Can't Stop " — 1	2013	3
